MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.65,9,18,0.5,1,6,0.167,5,6,0.833,8,0,2,3,0,24
22.55,4,10,0.4,2,7,0.286,0,0,0.0,8,0,0,1,0,10
49.68333333333333,15,27,0.556,2,10,0.2,6,9,0.667,17,0,1,2,2,38
40.055,5,12,0.417,1,4,0.25,10,12,0.833,2,0,0,1,2,21
31.1,8,18,0.444,2,9,0.222,3,4,0.75,9,0,0,1,1,21
37.3,8,13,0.615,4,9,0.444,6,6,1.0,7,1,3,2,2,26
35.3,8,16,0.5,3,5,0.6,5,6,0.833,9,0,1,1,1,24
34.43333333333333,8,15,0.533,5,12,0.417,8,8,1.0,5,3,1,0,1,29
34.71666666666667,7,20,0.35,4,11,0.364,4,5,0.8,8,1,2,0,1,22
33.163333333333334,9,17,0.529,4,10,0.4,0,2,0.0,7,1,3,2,0,22
27.57,6,11,0.545,4,6,0.667,3,3,1.0,11,1,0,1,0,19
37.7,10,24,0.417,5,13,0.385,2,2,1.0,14,5,2,0,1,27
28.1,7,13,0.538,5,7,0.714,0,0,0.0,3,0,1,1,2,19
34.95,12,23,0.522,5,13,0.385,6,6,1.0,12,3,3,0,0,35
31.6,6,15,0.4,2,6,0.333,5,6,0.833,10,1,1,2,0,19
