MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
34.65,3,12,0.25,1,8,0.125,0,0,0.0,5,5,2,0,2,7
33.666666666666664,6,12,0.5,2,7,0.286,2,2,1.0,5,5,2,1,0,16
25.466666666666665,4,13,0.308,4,8,0.5,0,0,0.0,4,4,0,1,0,12
28.0,4,9,0.444,3,8,0.375,3,4,0.75,4,2,0,2,0,14
25.633333333333333,3,8,0.375,2,7,0.286,2,2,1.0,3,0,2,0,1,10
15.766666666666667,3,7,0.429,2,6,0.333,0,0,0.0,1,1,1,1,0,8
27.133333333333333,4,6,0.667,3,5,0.6,0,0,0.0,4,0,1,0,1,11
17.616666666666667,1,3,0.333,1,1,1.0,0,0,0.0,1,0,1,0,1,3
15.456666666666667,3,5,0.6,2,4,0.5,0,0,0.0,1,0,1,0,0,8
16.14,0,2,0.0,0,2,0.0,0,0,0.0,1,0,0,0,0,0
12.2,2,3,0.667,2,2,1.0,0,0,0.0,2,1,1,2,0,6
18.315,4,8,0.5,2,5,0.4,0,0,0.0,5,1,2,0,1,10
18.35,5,8,0.625,3,6,0.5,0,0,0.0,3,0,2,0,1,13
