MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
25.351666666666667,6,6,1.0,0,0,0.0,0,0,0.0,8,0,2,0,2,12
26.541666666666668,3,6,0.5,0,2,0.0,1,2,0.5,5,2,1,1,3,7
27.783333333333335,4,11,0.364,0,2,0.0,1,2,0.5,8,2,1,1,6,9
25.866666666666667,7,9,0.778,0,0,0.0,0,1,0.0,8,3,0,0,2,14
21.033333333333335,5,10,0.5,0,1,0.0,1,1,1.0,11,0,3,1,2,11
30.65,5,12,0.417,1,2,0.5,4,6,0.667,15,0,1,0,4,15
21.86,2,3,0.667,0,0,0.0,0,0,0.0,4,0,0,0,3,4
25.166666666666668,2,6,0.333,0,0,0.0,0,0,0.0,10,1,1,0,5,4
17.9,1,4,0.25,0,0,0.0,2,4,0.5,4,0,0,0,2,4
29.145,10,11,0.909,0,0,0.0,2,3,0.667,13,0,2,0,1,22
23.466666666666665,1,4,0.25,0,2,0.0,0,0,0.0,5,1,3,0,1,2
21.266666666666666,3,6,0.5,1,2,0.5,0,0,0.0,4,0,0,0,0,7
22.166666666666668,4,5,0.8,0,0,0.0,0,0,0.0,8,0,1,0,1,8
