MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
37.916666666666664,10,22,0.455,3,6,0.5,3,4,0.75,4,16,1,3,1,26
37.72,14,23,0.609,3,8,0.375,9,10,0.9,5,3,4,0,1,40
40.416666666666664,9,20,0.45,2,8,0.25,9,17,0.529,9,7,2,2,0,29
37.126666666666665,14,32,0.438,3,7,0.429,5,6,0.833,7,12,2,1,0,36
38.05,9,17,0.529,2,7,0.286,6,7,0.857,2,5,2,1,0,26
28.733333333333334,5,18,0.278,2,12,0.167,2,4,0.5,2,0,2,1,0,14
31.233333333333334,10,20,0.5,6,10,0.6,4,5,0.8,4,7,0,3,0,30
40.71666666666667,14,24,0.583,5,11,0.455,10,13,0.769,8,7,1,1,1,43
38.32333333333333,10,22,0.455,3,9,0.333,5,7,0.714,5,5,3,4,0,28
35.86666666666667,11,20,0.55,2,6,0.333,4,7,0.571,2,6,1,1,0,28
34.25333333333333,14,24,0.583,3,8,0.375,6,8,0.75,4,8,3,1,1,37
39.15,14,28,0.5,5,9,0.556,6,7,0.857,4,4,2,2,0,39
32.95,6,18,0.333,1,7,0.143,5,6,0.833,5,6,3,1,1,18
