MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.1,7,18,0.389,1,3,0.333,2,3,0.667,15,7,2,1,0,17
30.55,3,12,0.25,2,3,0.667,3,4,0.75,5,3,1,0,0,11
36.666666666666664,2,7,0.286,0,1,0.0,5,6,0.833,8,10,1,1,0,9
39.405,7,15,0.467,1,1,1.0,0,1,0.0,11,5,2,2,3,15
35.541666666666664,8,11,0.727,0,0,0.0,7,10,0.7,9,6,3,0,1,23
30.671666666666667,4,8,0.5,0,0,0.0,2,3,0.667,10,8,5,0,0,10
34.71666666666667,13,15,0.867,0,2,0.0,6,10,0.6,13,6,1,0,0,32
35.28333333333333,9,13,0.692,2,3,0.667,7,8,0.875,14,7,4,0,1,27
38.79833333333333,13,19,0.684,1,1,1.0,2,2,1.0,16,7,4,3,1,29
35.416666666666664,8,10,0.8,1,2,0.5,6,11,0.545,9,10,3,0,2,23
38.2,7,15,0.467,0,0,0.0,3,6,0.5,13,13,5,1,2,17
39.65,11,14,0.786,0,0,0.0,5,7,0.714,11,9,6,1,1,27
30.316666666666666,3,4,0.75,0,0,0.0,2,3,0.667,8,5,4,0,0,8
30.711666666666666,5,10,0.5,0,2,0.0,1,4,0.25,15,4,5,1,2,11
37.096666666666664,8,16,0.5,0,1,0.0,7,12,0.583,11,8,2,0,0,23
34.0,5,8,0.625,1,1,1.0,1,3,0.333,15,5,3,1,0,12
35.81666666666667,7,15,0.467,0,2,0.0,5,6,0.833,18,7,1,3,0,19
32.13333333333333,8,14,0.571,1,2,0.5,5,7,0.714,12,5,3,1,2,22
