MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
23.433333333333334,3,10,0.3,2,5,0.4,0,0,0.0,5,1,2,0,0,8
16.366666666666667,1,4,0.25,1,2,0.5,2,2,1.0,3,0,0,1,1,5
32.51833333333333,7,13,0.538,2,7,0.286,1,1,1.0,3,4,1,1,0,17
38.483333333333334,3,10,0.3,0,4,0.0,0,0,0.0,6,3,2,1,0,6
30.783333333333335,3,9,0.333,2,7,0.286,1,2,0.5,6,2,1,2,0,9
37.7,9,13,0.692,5,8,0.625,2,2,1.0,8,1,0,1,0,25
40.2,8,17,0.471,3,10,0.3,5,5,1.0,11,1,3,3,1,24
31.216666666666665,4,17,0.235,1,6,0.167,0,0,0.0,7,3,1,1,2,9
27.933333333333334,5,11,0.455,2,6,0.333,0,0,0.0,5,1,2,1,0,12
33.108333333333334,3,12,0.25,1,8,0.125,0,0,0.0,2,1,0,0,0,7
39.4,4,15,0.267,0,7,0.0,2,2,1.0,6,3,0,2,0,10
33.21666666666667,6,14,0.429,3,9,0.333,2,3,0.667,8,5,1,2,1,17
39.6,6,16,0.375,3,11,0.273,1,2,0.5,7,1,4,2,1,16
29.683333333333334,5,13,0.385,4,9,0.444,1,1,1.0,8,1,0,1,2,15
