MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
29.416666666666668,6,10,0.6,4,6,0.667,0,0,0.0,6,2,2,1,1,16
25.786666666666665,3,7,0.429,1,5,0.2,0,0,0.0,5,5,2,0,0,7
32.71666666666667,8,14,0.571,4,7,0.571,1,2,0.5,9,5,1,0,0,21
24.456666666666667,4,8,0.5,2,5,0.4,0,0,0.0,2,3,0,0,1,10
26.866666666666667,2,10,0.2,2,7,0.286,2,2,1.0,7,2,0,0,0,8
22.533333333333335,4,10,0.4,2,8,0.25,0,0,0.0,0,3,0,0,0,10
25.416666666666668,4,9,0.444,1,4,0.25,0,0,0.0,1,2,0,3,0,9
37.575,10,16,0.625,6,11,0.545,2,2,1.0,4,7,0,2,0,28
28.695,7,11,0.636,6,9,0.667,0,0,0.0,2,2,0,0,0,20
33.91833333333334,11,19,0.579,4,10,0.4,2,2,1.0,9,2,2,3,1,28
39.403333333333336,5,13,0.385,4,9,0.444,3,3,1.0,5,4,3,2,0,17
25.216666666666665,5,10,0.5,3,8,0.375,0,1,0.0,3,2,3,1,0,13
15.833333333333334,2,8,0.25,0,3,0.0,0,0,0.0,4,2,1,1,0,4
26.843333333333334,4,11,0.364,1,5,0.2,2,2,1.0,9,3,1,1,0,11
36.62,4,12,0.333,3,7,0.429,1,2,0.5,7,4,0,0,2,12
15.616666666666667,0,5,0.0,0,5,0.0,0,0,0.0,2,2,0,0,1,0
23.566666666666666,3,9,0.333,1,5,0.2,0,0,0.0,5,2,1,0,0,7
