MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
28.1,9,14,0.643,4,7,0.571,4,4,1.0,3,4,3,2,0,26
27.623333333333335,3,8,0.375,2,5,0.4,7,7,1.0,4,2,2,0,0,15
25.933333333333334,8,15,0.533,3,7,0.429,2,2,1.0,3,1,3,1,1,21
29.656666666666666,6,14,0.429,3,6,0.5,2,2,1.0,2,0,3,1,0,17
25.883333333333333,2,8,0.25,1,6,0.167,5,5,1.0,4,5,2,2,0,10
24.4,3,11,0.273,2,6,0.333,0,0,0.0,0,5,1,0,0,8
18.0,4,9,0.444,4,6,0.667,0,0,0.0,2,3,2,1,1,12
25.516666666666666,7,11,0.636,6,9,0.667,0,0,0.0,4,8,1,1,0,20
20.516666666666666,1,8,0.125,1,5,0.2,0,0,0.0,5,5,3,1,0,3
25.633333333333333,4,8,0.5,3,5,0.6,2,2,1.0,5,4,2,1,1,13
28.676666666666666,5,12,0.417,2,5,0.4,0,0,0.0,2,8,2,1,0,12
29.866666666666667,4,16,0.25,0,7,0.0,15,19,0.789,6,10,5,1,0,23
14.65,2,6,0.333,1,3,0.333,0,0,0.0,1,2,1,1,0,5
25.7,6,13,0.462,3,7,0.429,3,4,0.75,3,7,1,0,1,18
24.64666666666667,5,9,0.556,3,5,0.6,3,3,1.0,3,2,3,0,2,16
24.7,7,17,0.412,4,9,0.444,4,5,0.8,3,3,2,0,0,22
17.95,2,4,0.5,1,2,0.5,4,4,1.0,0,6,2,0,1,9
23.12,4,12,0.333,2,9,0.222,0,0,0.0,2,7,2,0,2,10
