MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.116666666666667,7,10,0.7,7,9,0.778,0,0,0.0,1,1,0,0,0,21
22.635,4,8,0.5,4,8,0.5,0,0,0.0,3,2,0,0,1,12
18.883333333333333,2,8,0.25,2,6,0.333,0,0,0.0,2,0,2,1,0,6
13.981666666666667,2,6,0.333,2,3,0.667,0,0,0.0,1,0,0,2,0,6
16.31833333333333,1,4,0.25,1,2,0.5,2,3,0.667,4,1,3,1,0,5
25.566666666666666,2,8,0.25,1,6,0.167,2,2,1.0,3,5,0,1,0,7
28.466666666666665,9,12,0.75,7,10,0.7,0,0,0.0,3,3,0,3,1,25
24.666666666666668,5,9,0.556,4,8,0.5,0,0,0.0,4,1,1,0,0,14
21.611666666666668,3,8,0.375,0,2,0.0,0,0,0.0,4,3,4,2,0,6
16.4,2,6,0.333,1,4,0.25,0,0,0.0,1,1,0,0,0,5
22.733333333333334,3,8,0.375,1,6,0.167,2,3,0.667,1,2,1,0,1,9
19.816666666666666,1,6,0.167,1,3,0.333,0,0,0.0,4,2,0,1,0,3
16.183333333333334,4,6,0.667,3,5,0.6,1,2,0.5,6,1,1,1,1,12
18.225,1,8,0.125,1,4,0.25,0,0,0.0,4,0,1,0,0,3
30.25,5,10,0.5,3,7,0.429,3,5,0.6,2,0,3,2,1,16
15.0,1,3,0.333,1,3,0.333,0,0,0.0,2,6,1,1,0,3
19.666666666666668,2,7,0.286,1,5,0.2,0,0,0.0,4,1,2,2,0,5
20.366666666666667,6,10,0.6,3,5,0.6,1,2,0.5,2,1,2,1,1,16
15.416666666666666,0,4,0.0,0,3,0.0,0,0,0.0,3,2,0,0,0,0
