MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
19.316666666666666,3,6,0.5,1,3,0.333,3,4,0.75,1,1,1,1,0,10
18.983333333333334,2,10,0.2,1,5,0.2,0,0,0.0,1,2,1,0,0,5
25.533333333333335,9,20,0.45,4,10,0.4,1,1,1.0,3,1,1,0,0,23
28.633333333333333,4,10,0.4,3,5,0.6,7,8,0.875,2,1,0,1,1,18
25.8,8,17,0.471,4,8,0.5,0,0,0.0,4,2,2,0,1,20
17.15,4,14,0.286,1,7,0.143,6,6,1.0,1,0,0,0,0,15
23.366666666666667,4,11,0.364,0,5,0.0,1,1,1.0,4,1,1,0,0,9
33.36666666666667,10,18,0.556,3,7,0.429,4,5,0.8,6,4,1,1,0,27
28.383333333333333,6,11,0.545,3,5,0.6,5,6,0.833,0,4,2,1,0,20
25.566666666666666,1,10,0.1,1,2,0.5,4,4,1.0,6,1,0,1,0,7
25.583333333333332,5,9,0.556,4,6,0.667,3,3,1.0,5,9,1,0,0,17
27.75,8,17,0.471,3,9,0.333,0,0,0.0,0,5,0,1,0,19
20.3,3,5,0.6,1,3,0.333,0,0,0.0,1,5,0,0,0,7
21.83,5,10,0.5,1,3,0.333,3,3,1.0,3,1,1,0,0,14
27.716666666666665,7,16,0.438,0,3,0.0,4,6,0.667,6,4,0,1,0,18
23.933333333333334,6,11,0.545,3,6,0.5,3,3,1.0,3,2,3,0,0,18
19.066666666666666,4,9,0.444,0,3,0.0,2,2,1.0,1,1,2,0,0,10
24.15,4,14,0.286,1,9,0.111,2,2,1.0,6,6,4,1,0,11
28.0,7,11,0.636,5,7,0.714,5,6,0.833,6,4,2,1,0,24
