MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
16.073333333333334,1,3,0.333,0,0,0.0,2,3,0.667,8,0,0,0,1,4
17.066666666666666,1,1,1.0,0,0,0.0,0,0,0.0,3,0,2,2,0,2
13.566666666666666,2,3,0.667,0,0,0.0,0,0,0.0,6,2,0,0,0,4
13.55,2,3,0.667,0,0,0.0,3,4,0.75,5,1,0,0,1,7
27.665,1,3,0.333,0,0,0.0,0,0,0.0,5,1,1,2,1,2
14.466666666666667,1,3,0.333,0,0,0.0,0,0,0.0,4,0,1,0,1,2
14.686666666666667,1,2,0.5,0,0,0.0,2,2,1.0,7,0,1,0,0,4
19.583333333333332,1,3,0.333,0,0,0.0,1,2,0.5,8,2,1,1,1,3
17.266666666666666,5,9,0.556,0,0,0.0,1,1,1.0,4,0,0,1,0,11
14.83,1,2,0.5,1,1,1.0,0,0,0.0,3,1,0,1,0,3
17.55,2,3,0.667,0,0,0.0,2,4,0.5,6,1,2,1,2,6
15.25,6,9,0.667,0,0,0.0,1,1,1.0,3,0,0,2,0,13
13.2,3,5,0.6,0,0,0.0,0,0,0.0,3,2,0,2,0,6
18.258333333333333,2,3,0.667,0,0,0.0,0,0,0.0,3,0,2,0,0,4
15.933333333333334,0,2,0.0,0,0,0.0,0,0,0.0,6,2,2,3,0,0
22.85,5,10,0.5,0,2,0.0,3,3,1.0,7,1,1,2,1,13
14.533333333333333,1,1,1.0,0,0,0.0,2,4,0.5,3,1,0,0,0,4
10.298333333333334,3,4,0.75,0,0,0.0,2,4,0.5,2,1,1,1,1,8
25.723333333333333,3,4,0.75,0,0,0.0,1,2,0.5,8,2,1,0,0,7
