MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.65,9,21,0.429,3,8,0.375,1,1,1.0,5,8,2,1,0,22
39.943333333333335,13,24,0.542,7,12,0.583,9,10,0.9,6,8,1,1,0,42
33.53333333333333,5,9,0.556,2,5,0.4,0,1,0.0,3,7,2,3,0,12
38.19833333333333,15,25,0.6,5,10,0.5,0,2,0.0,6,8,2,3,1,35
34.21666666666667,10,16,0.625,1,4,0.25,3,5,0.6,3,3,2,0,0,24
36.15,7,15,0.467,3,6,0.5,8,8,1.0,4,6,1,0,0,25
38.86666666666667,12,21,0.571,4,8,0.5,4,4,1.0,4,7,2,0,0,32
33.915,10,23,0.435,6,10,0.6,6,6,1.0,7,7,0,0,0,32
40.96666666666667,8,19,0.421,6,10,0.6,2,2,1.0,0,8,3,0,0,24
38.766666666666666,10,21,0.476,3,7,0.429,3,5,0.6,3,4,2,1,0,26
26.566666666666666,7,12,0.583,2,4,0.5,4,4,1.0,1,1,1,1,0,20
32.75,8,19,0.421,5,8,0.625,4,4,1.0,2,6,0,0,0,25
35.2,2,12,0.167,1,3,0.333,2,2,1.0,3,6,4,3,0,7
41.61666666666667,17,30,0.567,2,8,0.25,9,11,0.818,5,4,4,1,0,45
38.60666666666667,8,23,0.348,0,2,0.0,8,9,0.889,4,4,1,0,0,24
33.666666666666664,7,16,0.438,1,3,0.333,4,5,0.8,5,2,5,2,0,19
30.583333333333332,4,14,0.286,1,5,0.2,5,6,0.833,4,5,1,0,0,14
32.7,11,21,0.524,8,12,0.667,1,2,0.5,3,5,2,0,0,31
32.583333333333336,6,21,0.286,3,8,0.375,0,1,0.0,3,6,2,3,0,15
