MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.265,8,15,0.533,1,4,0.25,3,3,1.0,10,9,2,0,0,20
38.205,12,21,0.571,2,5,0.4,3,6,0.5,10,8,3,0,1,29
34.483333333333334,8,15,0.533,2,7,0.286,7,8,0.875,20,5,4,2,0,25
35.983333333333334,10,21,0.476,1,4,0.25,7,8,0.875,5,2,2,0,0,28
35.05,5,12,0.417,1,4,0.25,2,2,1.0,8,7,6,0,0,13
33.55,6,16,0.375,1,6,0.167,8,12,0.667,14,1,2,0,0,21
37.666666666666664,8,17,0.471,2,5,0.4,3,7,0.429,6,8,4,0,0,21
35.13333333333333,9,18,0.5,1,5,0.2,3,6,0.5,7,8,6,1,2,22
38.833333333333336,12,24,0.5,3,5,0.6,2,2,1.0,10,8,1,1,0,29
37.70333333333333,7,19,0.368,2,8,0.25,9,11,0.818,9,5,3,0,0,25
27.15,8,16,0.5,1,4,0.25,6,8,0.75,5,5,3,3,0,23
31.198333333333334,8,19,0.421,2,6,0.333,5,8,0.625,16,5,2,1,0,23
36.61666666666667,9,21,0.429,3,8,0.375,6,6,1.0,10,3,6,0,0,27
38.983333333333334,5,20,0.25,1,9,0.111,5,9,0.556,12,5,1,2,0,16
35.25,3,15,0.2,0,6,0.0,0,0,0.0,6,4,3,1,0,6
31.375,5,14,0.357,2,5,0.4,7,10,0.7,10,2,1,1,0,19
33.7,4,15,0.267,0,5,0.0,2,2,1.0,12,4,8,0,0,10
34.235,4,10,0.4,3,7,0.429,6,8,0.75,12,9,3,0,0,17
34.016666666666666,5,22,0.227,3,8,0.375,1,5,0.2,11,7,0,2,0,14
