MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
31.926666666666666,3,3,1.0,0,0,0.0,0,0,0.0,5,1,2,4,1,6
30.933333333333334,2,4,0.5,0,0,0.0,2,2,1.0,9,1,1,1,1,6
32.733333333333334,3,6,0.5,0,0,0.0,0,0,0.0,10,0,4,2,6,6
34.45,1,2,0.5,0,0,0.0,1,4,0.25,11,1,1,1,1,3
20.083333333333332,2,4,0.5,0,0,0.0,1,4,0.25,7,0,0,2,0,5
30.45,5,7,0.714,0,0,0.0,0,0,0.0,11,0,2,2,2,10
33.31333333333333,2,5,0.4,0,0,0.0,0,0,0.0,14,1,3,0,3,4
27.216666666666665,3,4,0.75,0,0,0.0,0,1,0.0,8,1,0,0,1,6
30.655,3,3,1.0,0,0,0.0,0,0,0.0,15,0,1,3,1,6
33.17,2,2,1.0,0,0,0.0,0,2,0.0,6,1,1,1,2,4
23.916666666666668,5,7,0.714,0,0,0.0,0,2,0.0,9,0,0,1,0,10
31.216666666666665,3,4,0.75,0,0,0.0,2,6,0.333,12,1,0,0,0,8
34.8,6,10,0.6,0,0,0.0,1,1,1.0,15,0,0,4,0,13
29.445,0,4,0.0,0,0,0.0,0,0,0.0,15,1,0,0,0,0
32.06666666666667,1,3,0.333,0,0,0.0,4,8,0.5,16,0,1,0,2,6
22.316666666666666,4,4,1.0,0,0,0.0,0,0,0.0,7,0,1,1,0,8
28.95,4,8,0.5,0,0,0.0,0,0,0.0,15,0,0,1,2,8
37.70166666666667,2,6,0.333,0,0,0.0,3,4,0.75,13,1,0,4,4,7
22.098333333333333,1,4,0.25,0,0,0.0,0,2,0.0,6,1,1,2,0,2
