MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.985,6,18,0.333,1,6,0.167,2,3,0.667,4,6,2,0,0,15
23.933333333333334,5,12,0.417,1,6,0.167,4,6,0.667,1,2,2,0,0,15
28.3,3,13,0.231,1,4,0.25,9,9,1.0,3,2,1,1,0,16
30.95,3,11,0.273,0,2,0.0,3,4,0.75,2,1,0,0,1,9
34.3,7,14,0.5,1,5,0.2,3,3,1.0,7,1,3,0,0,18
21.966666666666665,4,13,0.308,3,4,0.75,3,4,0.75,7,1,4,1,0,14
25.85,5,15,0.333,1,5,0.2,4,5,0.8,3,3,1,1,0,15
30.683333333333334,9,16,0.563,4,6,0.667,2,3,0.667,4,2,1,1,1,24
31.735,8,17,0.471,5,9,0.556,3,3,1.0,2,6,0,1,0,24
30.716666666666665,9,16,0.563,2,4,0.5,6,6,1.0,6,4,5,0,0,26
24.841666666666665,5,13,0.385,3,5,0.6,3,4,0.75,3,0,1,0,0,16
29.983333333333334,7,16,0.438,1,6,0.167,3,4,0.75,3,2,3,0,1,18
33.915,9,15,0.6,3,5,0.6,5,6,0.833,3,6,3,1,0,26
36.33166666666666,8,20,0.4,2,5,0.4,6,7,0.857,3,2,2,1,0,24
