MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
36.65,10,22,0.455,0,0,0.0,7,9,0.778,14,3,1,0,5,27
35.983333333333334,11,18,0.611,0,1,0.0,9,10,0.9,14,2,0,2,0,31
29.116666666666667,9,15,0.6,0,0,0.0,10,13,0.769,16,4,0,1,3,28
32.281666666666666,7,14,0.5,0,0,0.0,3,5,0.6,11,2,2,1,1,17
37.8,13,20,0.65,0,0,0.0,6,7,0.857,13,3,5,2,3,32
36.35,4,10,0.4,0,0,0.0,2,2,1.0,13,4,3,1,1,10
29.183333333333334,11,14,0.786,0,0,0.0,4,5,0.8,16,4,2,2,0,26
32.86666666666667,11,15,0.733,0,0,0.0,5,7,0.714,10,3,4,2,1,27
34.776666666666664,8,19,0.421,0,1,0.0,0,1,0.0,14,2,6,3,5,16
34.733333333333334,3,9,0.333,0,1,0.0,3,3,1.0,9,0,5,0,4,9
26.833333333333332,7,11,0.636,0,0,0.0,5,6,0.833,11,5,2,0,6,19
41.0,10,20,0.5,0,1,0.0,10,12,0.833,13,6,1,0,3,30
36.04833333333333,5,14,0.357,0,0,0.0,8,8,1.0,11,4,1,0,1,18
24.833333333333332,4,7,0.571,0,0,0.0,1,1,1.0,6,4,1,0,1,9
32.18333333333333,10,15,0.667,0,0,0.0,8,8,1.0,13,3,4,0,7,28
47.56666666666667,10,18,0.556,0,0,0.0,7,9,0.778,10,3,0,1,4,27
38.2,12,18,0.667,0,1,0.0,2,3,0.667,19,5,1,1,3,26
41.68333333333333,11,22,0.5,1,2,0.5,7,8,0.875,16,2,0,2,3,30
39.25,10,17,0.588,1,2,0.5,9,10,0.9,12,2,2,3,3,30
34.15,6,17,0.353,1,2,0.5,4,4,1.0,8,4,2,0,2,17
