MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
22.15,6,11,0.545,1,4,0.25,5,6,0.833,4,1,1,3,0,18
28.788333333333334,5,9,0.556,1,4,0.25,3,3,1.0,2,3,2,0,0,14
24.348333333333333,3,8,0.375,0,4,0.0,0,0,0.0,3,4,2,0,1,6
28.583333333333332,4,10,0.4,1,4,0.25,3,3,1.0,2,2,3,0,0,12
32.365,4,8,0.5,1,2,0.5,6,6,1.0,5,10,2,2,0,15
31.416666666666668,7,14,0.5,1,5,0.2,2,3,0.667,6,6,2,0,0,17
26.366666666666667,7,13,0.538,1,4,0.25,4,4,1.0,5,5,2,3,0,19
25.31,5,7,0.714,2,3,0.667,5,6,0.833,6,6,2,0,0,17
17.983333333333334,1,4,0.25,0,0,0.0,5,6,0.833,2,4,3,0,0,7
33.666666666666664,4,10,0.4,0,5,0.0,1,2,0.5,11,8,4,1,0,9
29.178333333333335,5,9,0.556,4,4,1.0,2,3,0.667,12,7,3,0,0,16
28.466666666666665,6,12,0.5,2,4,0.5,4,4,1.0,4,4,1,0,0,18
35.406666666666666,6,11,0.545,2,4,0.5,1,1,1.0,1,7,2,1,0,15
25.933333333333334,2,9,0.222,0,4,0.0,3,3,1.0,1,4,2,2,0,7
40.13333333333333,9,14,0.643,3,8,0.375,2,3,0.667,10,9,4,1,0,23
34.0,7,11,0.636,3,5,0.6,3,4,0.75,2,2,1,2,0,20
37.61666666666667,5,13,0.385,0,3,0.0,5,5,1.0,7,7,5,3,0,15
31.316666666666666,5,12,0.417,1,4,0.25,0,0,0.0,3,3,3,0,1,11
27.548333333333332,1,12,0.083,1,8,0.125,2,2,1.0,2,2,3,1,0,5
27.9,4,7,0.571,1,2,0.5,1,2,0.5,2,1,1,1,0,10
31.333333333333332,4,11,0.364,1,2,0.5,5,7,0.714,8,4,2,2,0,14
