MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.416666666666668,4,7,0.571,0,1,0.0,3,3,1.0,5,1,0,0,1,11
19.535,0,3,0.0,0,2,0.0,0,0,0.0,3,2,1,0,0,0
39.11666666666667,3,9,0.333,1,5,0.2,0,0,0.0,3,3,1,3,0,7
30.583333333333332,2,4,0.5,1,2,0.5,3,4,0.75,2,1,1,3,1,8
32.233333333333334,7,14,0.5,2,5,0.4,0,0,0.0,2,0,1,5,0,16
24.755,3,7,0.429,3,5,0.6,1,2,0.5,1,2,0,0,0,10
37.86666666666667,7,10,0.7,1,3,0.333,3,3,1.0,7,2,1,3,1,18
27.726666666666667,5,10,0.5,5,8,0.625,2,2,1.0,3,0,0,3,0,17
24.61,2,7,0.286,0,3,0.0,3,4,0.75,1,0,0,3,0,7
28.716666666666665,2,5,0.4,0,0,0.0,3,4,0.75,4,2,2,1,0,7
23.8,1,5,0.2,0,1,0.0,0,0,0.0,3,0,1,0,0,2
36.63333333333333,2,7,0.286,1,5,0.2,3,4,0.75,4,4,0,3,1,8
14.0,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1,1,0,0
11.75,2,5,0.4,0,3,0.0,0,0,0.0,1,0,1,0,0,4
17.633333333333333,2,4,0.5,1,2,0.5,2,2,1.0,4,0,0,0,1,7
