MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.366666666666667,4,10,0.4,1,5,0.2,0,0,0.0,2,7,0,5,0,9
32.13,6,13,0.462,2,5,0.4,2,2,1.0,3,10,2,1,0,16
34.31666666666667,13,17,0.765,5,7,0.714,4,5,0.8,4,9,3,1,2,35
24.4,5,10,0.5,1,2,0.5,1,2,0.5,2,7,0,0,0,12
31.95,4,12,0.333,2,6,0.333,0,0,0.0,5,5,4,2,0,10
24.408333333333335,5,11,0.455,2,4,0.5,3,3,1.0,3,5,1,0,1,15
26.283333333333335,7,9,0.778,3,4,0.75,3,5,0.6,3,8,0,0,1,20
24.483333333333334,1,8,0.125,1,5,0.2,1,2,0.5,5,2,3,3,0,4
28.833333333333332,5,10,0.5,4,7,0.571,0,1,0.0,3,6,4,0,0,14
34.733333333333334,12,20,0.6,4,6,0.667,0,0,0.0,5,5,2,0,1,28
26.583333333333332,8,12,0.667,6,8,0.75,2,3,0.667,3,5,0,0,0,24
31.883333333333333,5,14,0.357,0,3,0.0,1,2,0.5,5,11,1,1,0,11
28.871666666666666,6,12,0.5,0,3,0.0,7,9,0.778,3,9,1,0,1,19
27.59,9,18,0.5,4,7,0.571,0,0,0.0,2,4,1,0,3,22
28.7,6,10,0.6,1,3,0.333,0,0,0.0,4,6,3,0,1,13
34.7,4,17,0.235,1,10,0.1,2,2,1.0,4,4,1,0,0,11
36.208333333333336,10,19,0.526,3,7,0.429,4,4,1.0,2,6,3,0,0,27
36.37,10,14,0.714,3,6,0.5,5,5,1.0,2,8,3,1,1,28
40.61833333333333,5,13,0.385,1,5,0.2,6,7,0.857,3,9,0,0,0,17
33.083333333333336,6,16,0.375,1,7,0.143,1,1,1.0,4,5,3,2,1,14
36.18333333333333,4,12,0.333,2,5,0.4,1,2,0.5,4,7,3,1,0,11
