MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.36666666666667,7,17,0.412,0,4,0.0,2,5,0.4,4,7,5,1,1,16
35.055,7,12,0.583,4,8,0.5,3,4,0.75,12,6,5,1,1,21
28.7,9,19,0.474,2,6,0.333,5,5,1.0,8,3,1,0,0,25
29.535,8,12,0.667,1,1,1.0,1,2,0.5,0,5,1,1,1,18
35.59166666666667,8,23,0.348,1,9,0.111,5,7,0.714,6,6,4,2,2,22
36.016666666666666,9,19,0.474,4,9,0.444,4,7,0.571,9,7,3,0,0,26
24.016666666666666,6,10,0.6,3,5,0.6,2,2,1.0,7,9,2,0,0,17
39.598333333333336,14,19,0.737,2,5,0.4,7,9,0.778,6,8,2,3,0,37
34.53333333333333,13,22,0.591,5,9,0.556,4,6,0.667,5,9,3,2,0,35
35.3,9,15,0.6,3,7,0.429,7,8,0.875,10,12,6,4,1,28
22.65,6,11,0.545,3,6,0.5,1,2,0.5,9,6,4,1,0,16
36.38333333333333,11,17,0.647,3,4,0.75,7,11,0.636,11,6,4,1,1,32
27.2,7,13,0.538,0,2,0.0,4,5,0.8,6,2,3,0,0,18
37.4,13,23,0.565,0,4,0.0,4,4,1.0,4,3,5,1,3,30
35.21666666666667,8,15,0.533,2,5,0.4,6,7,0.857,9,5,3,3,0,24
42.483333333333334,13,19,0.684,4,8,0.5,5,10,0.5,12,7,4,1,2,35
32.78333333333333,7,17,0.412,2,6,0.333,3,4,0.75,3,4,5,3,1,19
39.083333333333336,11,19,0.579,3,8,0.375,2,6,0.333,15,8,8,0,0,27
35.0,7,14,0.5,1,5,0.2,6,8,0.75,8,9,5,2,2,21
29.01,10,16,0.625,1,4,0.25,0,1,0.0,8,5,0,1,0,21
