MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
28.95,4,7,0.571,3,3,1.0,1,2,0.5,7,2,0,0,0,12
20.883333333333333,3,7,0.429,2,3,0.667,0,0,0.0,0,0,1,2,1,8
22.366666666666667,0,3,0.0,0,2,0.0,5,5,1.0,2,2,2,0,1,5
25.9,3,6,0.5,0,3,0.0,0,0,0.0,3,1,1,1,0,6
33.31666666666667,5,7,0.714,2,4,0.5,0,0,0.0,5,3,1,0,0,12
23.208333333333332,3,7,0.429,1,4,0.25,0,0,0.0,2,0,0,0,0,7
24.533333333333335,3,8,0.375,1,5,0.2,0,0,0.0,5,4,0,1,1,7
12.616666666666667,0,1,0.0,0,0,0.0,0,0,0.0,3,0,1,1,0,0
27.966666666666665,1,8,0.125,0,2,0.0,2,3,0.667,8,3,1,0,1,4
15.35,2,3,0.667,0,1,0.0,0,0,0.0,1,1,1,0,0,4
23.233333333333334,3,7,0.429,0,2,0.0,0,0,0.0,5,0,1,0,0,6
21.85,1,7,0.143,1,5,0.2,2,2,1.0,3,0,0,1,0,5
