MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
25.8,4,11,0.364,1,2,0.5,0,0,0.0,3,1,1,0,0,9
28.45,4,13,0.308,2,5,0.4,2,2,1.0,6,1,1,0,0,12
32.15,4,10,0.4,0,4,0.0,3,4,0.75,4,2,2,2,0,11
27.666666666666668,3,5,0.6,1,2,0.5,0,0,0.0,5,2,0,0,0,7
17.8,2,5,0.4,1,1,1.0,0,0,0.0,0,0,0,0,0,5
23.833333333333332,8,10,0.8,3,3,1.0,4,4,1.0,3,0,5,0,0,23
32.96666666666667,6,10,0.6,1,3,0.333,6,6,1.0,5,2,1,2,0,19
20.45,3,6,0.5,1,3,0.333,0,1,0.0,3,1,1,4,1,7
25.566666666666666,10,14,0.714,2,3,0.667,2,5,0.4,8,2,0,2,1,24
17.266666666666666,3,6,0.5,2,4,0.5,3,4,0.75,6,1,0,0,0,11
12.483333333333333,2,3,0.667,1,2,0.5,2,2,1.0,0,0,1,1,1,7
14.64,3,10,0.3,0,3,0.0,0,0,0.0,3,0,0,0,0,6
