MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
31.416666666666668,8,16,0.5,2,6,0.333,2,2,1.0,5,1,1,0,1,20
16.966666666666665,1,3,0.333,0,0,0.0,2,2,1.0,1,2,1,2,1,4
26.15,9,16,0.563,3,5,0.6,4,5,0.8,6,5,1,0,2,25
31.55,9,16,0.563,1,3,0.333,11,12,0.917,7,7,2,2,1,30
28.516666666666666,6,17,0.353,2,4,0.5,2,4,0.5,3,6,3,2,1,16
28.821666666666665,6,11,0.545,1,4,0.25,7,8,0.875,5,0,0,0,0,20
29.083333333333332,5,10,0.5,2,4,0.5,3,3,1.0,5,10,2,0,0,15
24.883333333333333,5,12,0.417,1,3,0.333,4,4,1.0,5,3,4,0,1,15
36.73833333333334,3,12,0.25,1,5,0.2,4,4,1.0,8,7,2,1,0,11
21.783333333333335,6,11,0.545,2,3,0.667,2,2,1.0,5,3,3,1,0,16
27.9,2,10,0.2,2,8,0.25,4,4,1.0,6,2,4,0,0,10
14.05,0,3,0.0,0,1,0.0,4,4,1.0,2,3,3,1,0,4
23.233333333333334,1,7,0.143,0,4,0.0,5,6,0.833,2,2,3,0,0,7
29.533333333333335,7,13,0.538,2,5,0.4,3,5,0.6,2,5,3,1,2,19
23.05,4,9,0.444,3,5,0.6,3,3,1.0,5,1,3,0,0,14
30.93166666666667,5,10,0.5,2,4,0.5,6,6,1.0,7,7,3,2,0,18
17.516666666666666,3,6,0.5,0,2,0.0,4,6,0.667,2,1,1,0,0,10
21.15,4,12,0.333,1,3,0.333,3,4,0.75,3,2,1,3,0,12
28.1,6,15,0.4,3,7,0.429,3,6,0.5,4,2,1,0,1,18
24.083333333333332,8,12,0.667,1,2,0.5,3,3,1.0,8,2,0,0,0,20
