MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.68333333333333,6,16,0.375,2,3,0.667,6,6,1.0,7,5,1,0,1,20
34.483333333333334,9,17,0.529,1,3,0.333,12,14,0.857,7,8,0,0,0,31
30.8,11,14,0.786,4,6,0.667,5,6,0.833,6,3,2,0,1,31
34.78,11,15,0.733,2,3,0.667,6,9,0.667,7,2,3,2,0,30
34.93666666666667,8,17,0.471,1,6,0.167,0,0,0.0,8,6,3,0,1,17
31.183333333333334,11,18,0.611,1,4,0.25,4,4,1.0,3,4,1,1,2,27
31.316666666666666,8,18,0.444,1,4,0.25,0,1,0.0,4,2,0,3,0,17
22.361666666666668,6,14,0.429,0,2,0.0,7,7,1.0,7,1,0,2,0,19
35.38166666666667,9,18,0.5,2,8,0.25,1,2,0.5,4,2,2,2,0,21
30.516666666666666,5,16,0.313,0,4,0.0,3,3,1.0,2,3,1,0,0,13
35.876666666666665,8,16,0.5,3,8,0.375,2,3,0.667,8,5,0,0,0,21
37.93333333333333,8,16,0.5,2,6,0.333,6,7,0.857,6,3,3,1,0,24
28.9,5,12,0.417,0,1,0.0,2,2,1.0,7,3,4,0,0,12
33.25,5,13,0.385,1,4,0.25,1,2,0.5,5,4,1,1,0,12
32.71666666666667,12,28,0.429,1,3,0.333,1,2,0.5,5,2,1,1,1,26
37.61666666666667,9,22,0.409,2,6,0.333,1,2,0.5,4,5,2,4,0,21
32.35,6,13,0.462,2,7,0.286,0,0,0.0,8,3,3,0,1,14
36.85,5,17,0.294,2,7,0.286,4,4,1.0,8,4,2,2,0,16
35.36333333333334,6,16,0.375,3,9,0.333,8,9,0.889,5,3,3,1,1,23
27.05,5,12,0.417,3,7,0.429,6,6,1.0,4,2,3,1,0,19
