MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
20.75,2,8,0.25,0,5,0.0,0,0,0.0,1,2,0,0,0,4
22.27166666666667,3,9,0.333,1,6,0.167,1,2,0.5,0,0,1,0,0,8
19.316666666666666,2,2,1.0,2,2,1.0,2,3,0.667,2,4,1,2,0,8
24.4,2,6,0.333,1,5,0.2,0,0,0.0,0,6,0,1,0,5
19.416666666666668,1,3,0.333,1,3,0.333,1,1,1.0,3,0,2,0,0,4
23.205,1,7,0.143,1,6,0.167,2,2,1.0,3,3,0,3,0,5
22.783333333333335,4,7,0.571,2,5,0.4,0,0,0.0,1,1,0,1,0,10
21.983333333333334,4,6,0.667,3,3,1.0,2,2,1.0,0,2,0,2,0,13
28.683333333333334,5,10,0.5,3,7,0.429,2,2,1.0,6,2,0,1,2,15
20.916666666666668,2,4,0.5,1,3,0.333,1,2,0.5,0,0,0,2,0,6
14.466666666666667,0,2,0.0,0,2,0.0,0,0,0.0,0,1,0,0,1,0
17.75,3,5,0.6,2,4,0.5,1,3,0.333,2,2,0,1,0,9
21.0,6,6,1.0,5,5,1.0,0,0,0.0,3,3,3,0,0,17
18.736666666666668,1,5,0.2,1,3,0.333,0,0,0.0,1,1,1,0,0,3
16.95,5,8,0.625,1,4,0.25,0,0,0.0,5,0,0,0,1,11
