MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
15.433333333333334,1,6,0.167,0,0,0.0,1,2,0.5,5,0,0,0,1,3
24.216666666666665,1,1,1.0,1,1,1.0,0,0,0.0,5,4,3,0,2,3
23.716666666666665,2,5,0.4,0,0,0.0,4,4,1.0,7,2,1,0,1,8
19.966666666666665,5,7,0.714,0,0,0.0,1,1,1.0,7,3,2,1,0,11
18.7,3,5,0.6,0,0,0.0,0,0,0.0,5,3,0,1,1,6
31.6,2,5,0.4,0,0,0.0,2,2,1.0,12,2,1,0,1,6
30.966666666666665,2,6,0.333,0,0,0.0,1,4,0.25,7,6,1,2,5,5
22.383333333333333,3,5,0.6,0,0,0.0,2,2,1.0,8,2,0,0,4,8
21.316666666666666,0,1,0.0,0,0,0.0,2,4,0.5,4,0,1,1,2,2
26.166666666666668,6,10,0.6,0,0,0.0,3,4,0.75,11,2,0,2,1,15
24.4,6,7,0.857,0,1,0.0,2,2,1.0,3,1,0,2,0,14
21.116666666666667,1,5,0.2,0,0,0.0,0,0,0.0,9,2,1,2,0,2
21.483333333333334,5,7,0.714,0,0,0.0,2,4,0.5,5,0,1,0,2,12
21.933333333333334,3,5,0.6,0,1,0.0,1,1,1.0,6,0,1,2,1,7
25.933333333333334,3,6,0.5,0,1,0.0,4,4,1.0,10,2,0,0,5,10
