MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
21.566666666666666,6,9,0.667,2,2,1.0,4,5,0.8,2,2,2,0,1,18
22.895,8,13,0.615,0,2,0.0,2,3,0.667,6,0,3,1,1,18
18.5,5,7,0.714,0,1,0.0,1,1,1.0,4,1,2,0,1,11
17.833333333333332,4,7,0.571,1,2,0.5,2,2,1.0,7,2,2,0,0,11
23.75,9,13,0.692,1,3,0.333,8,9,0.889,3,0,1,0,0,27
15.283333333333333,4,7,0.571,1,3,0.333,3,4,0.75,3,1,1,1,0,12
15.483333333333333,5,9,0.556,0,0,0.0,0,0,0.0,4,2,1,1,0,10
20.533333333333335,6,10,0.6,1,1,1.0,3,4,0.75,3,2,1,0,0,16
23.466666666666665,4,5,0.8,0,1,0.0,2,2,1.0,4,3,0,0,1,10
20.383333333333333,2,6,0.333,0,1,0.0,1,1,1.0,4,1,1,1,0,5
21.316666666666666,3,4,0.75,0,0,0.0,5,6,0.833,6,4,1,0,0,11
21.3,7,9,0.778,1,1,1.0,4,5,0.8,4,1,1,1,0,19
20.033333333333335,5,9,0.556,2,4,0.5,1,1,1.0,7,0,2,0,0,13
26.066666666666666,8,13,0.615,1,4,0.25,2,2,1.0,5,0,2,1,0,19
18.983333333333334,6,10,0.6,1,3,0.333,0,0,0.0,8,2,2,1,0,13
18.933333333333334,4,6,0.667,1,2,0.5,1,1,1.0,1,1,0,0,2,10
14.366666666666667,4,7,0.571,0,2,0.0,5,6,0.833,1,1,1,1,1,13
11.483333333333333,2,5,0.4,0,1,0.0,1,2,0.5,1,0,1,0,0,5
21.916666666666668,8,8,1.0,1,1,1.0,0,1,0.0,9,1,1,1,1,17
15.35,0,1,0.0,0,1,0.0,2,2,1.0,4,0,3,0,1,2
