MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.93333333333333,6,15,0.4,0,2,0.0,7,9,0.778,10,8,1,1,0,19
38.03333333333333,11,20,0.55,3,4,0.75,3,3,1.0,13,7,2,0,0,28
26.766666666666666,2,8,0.25,0,0,0.0,2,3,0.667,4,4,4,0,0,6
37.083333333333336,9,18,0.5,2,5,0.4,3,6,0.5,7,8,2,2,0,23
34.53333333333333,10,16,0.625,2,6,0.333,1,2,0.5,7,5,3,0,0,23
34.7,8,14,0.571,4,5,0.8,3,5,0.6,3,4,3,1,3,23
31.75,10,20,0.5,2,3,0.667,3,3,1.0,5,3,3,0,1,25
26.666666666666668,9,14,0.643,0,0,0.0,6,7,0.857,3,0,1,1,2,24
31.7,6,14,0.429,0,1,0.0,1,4,0.25,8,4,7,0,1,13
32.666666666666664,4,12,0.333,2,4,0.5,7,10,0.7,9,3,1,1,0,17
35.35,6,15,0.4,4,7,0.571,3,6,0.5,6,3,2,2,1,19
38.266666666666666,10,22,0.455,2,5,0.4,4,5,0.8,12,5,3,1,0,26
34.13333333333333,7,14,0.5,1,3,0.333,2,4,0.5,8,4,5,1,0,17
37.32833333333333,8,18,0.444,0,1,0.0,6,6,1.0,5,6,6,0,0,22
34.03333333333333,9,15,0.6,2,4,0.5,5,7,0.714,7,10,4,1,1,25
35.75,9,13,0.692,1,2,0.5,11,15,0.733,9,5,6,3,2,30
32.05,5,13,0.385,1,3,0.333,4,8,0.5,4,4,3,4,0,15
30.466666666666665,4,14,0.286,1,5,0.2,0,2,0.0,5,5,2,0,0,9
35.13,5,12,0.417,0,0,0.0,4,9,0.444,7,4,3,2,0,14
27.9,3,6,0.5,0,1,0.0,6,7,0.857,5,5,1,1,0,12
