MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
39.31666666666667,9,9,1.0,0,0,0.0,2,5,0.4,16,0,2,1,7,20
22.516666666666666,2,5,0.4,0,0,0.0,0,0,0.0,5,1,2,1,2,4
27.785,4,4,1.0,0,0,0.0,0,0,0.0,5,2,0,0,2,8
19.133333333333333,1,3,0.333,0,0,0.0,0,0,0.0,10,3,1,0,0,2
29.15,3,6,0.5,0,0,0.0,0,0,0.0,9,0,1,1,2,6
23.915,3,4,0.75,0,0,0.0,0,0,0.0,10,2,3,0,1,6
23.633333333333333,7,8,0.875,0,0,0.0,3,3,1.0,9,2,1,1,2,17
21.083333333333332,1,2,0.5,0,1,0.0,2,2,1.0,9,2,0,0,0,4
26.266666666666666,4,5,0.8,0,0,0.0,2,4,0.5,2,0,1,1,2,10
26.211666666666666,3,8,0.375,0,0,0.0,0,0,0.0,4,1,1,0,1,6
15.833333333333334,4,5,0.8,0,0,0.0,2,2,1.0,5,0,2,1,1,10
32.41,7,9,0.778,0,0,0.0,1,2,0.5,14,1,2,0,1,15
24.8,2,3,0.667,0,1,0.0,0,0,0.0,4,0,0,1,1,4
33.35,3,5,0.6,0,0,0.0,1,4,0.25,13,6,1,2,1,7
13.646666666666667,1,2,0.5,0,0,0.0,0,0,0.0,6,0,0,0,1,2
16.845,4,4,1.0,0,0,0.0,1,2,0.5,2,0,1,0,1,9
30.671666666666667,7,8,0.875,0,0,0.0,2,3,0.667,10,1,1,1,1,16
