MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.86666666666667,8,15,0.533,6,12,0.5,2,2,1.0,4,1,3,1,1,24
31.15,6,14,0.429,4,7,0.571,0,0,0.0,4,1,1,1,0,16
34.37833333333333,5,7,0.714,2,3,0.667,3,3,1.0,6,1,0,1,0,15
19.966666666666665,1,5,0.2,1,3,0.333,1,2,0.5,1,1,0,1,1,4
18.68,2,4,0.5,2,4,0.5,0,0,0.0,2,0,0,0,2,6
18.55,2,4,0.5,1,2,0.5,1,1,1.0,2,0,1,0,0,6
19.233333333333334,0,7,0.0,0,2,0.0,0,0,0.0,8,1,2,0,0,0
26.033333333333335,8,11,0.727,2,5,0.4,2,3,0.667,7,1,2,1,2,20
18.466666666666665,2,4,0.5,1,3,0.333,2,2,1.0,3,2,1,0,1,7
21.566666666666666,2,6,0.333,2,6,0.333,1,2,0.5,1,2,1,0,0,7
28.85333333333333,4,10,0.4,1,4,0.25,2,2,1.0,10,3,0,3,0,11
29.166666666666668,6,8,0.75,3,5,0.6,0,0,0.0,5,1,3,0,3,15
28.428333333333335,2,5,0.4,1,3,0.333,0,0,0.0,4,1,1,0,2,5
16.788333333333334,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0
16.945,3,5,0.6,1,3,0.333,0,0,0.0,1,1,0,2,0,7
31.313333333333333,7,13,0.538,3,9,0.333,0,0,0.0,5,1,0,0,0,17
26.666666666666668,7,10,0.7,4,6,0.667,4,6,0.667,4,0,1,0,0,22
14.315,2,5,0.4,0,2,0.0,0,0,0.0,1,1,1,0,0,4
11.5,0,3,0.0,0,2,0.0,1,2,0.5,1,0,1,0,0,1
