MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.933333333333334,0,0,0.0,0,0,0.0,2,2,1.0,2,3,0,0,0,2
13.383333333333333,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0
23.6,1,2,0.5,0,0,0.0,1,1,1.0,3,1,0,0,0,3
10.835,2,4,0.5,0,0,0.0,0,0,0.0,7,1,1,0,1,4
17.95,3,4,0.75,0,0,0.0,1,2,0.5,10,2,0,1,0,7
21.788333333333334,2,3,0.667,0,0,0.0,5,5,1.0,5,4,1,1,0,9
24.435,1,1,1.0,0,0,0.0,3,5,0.6,6,0,0,0,1,5
28.471666666666668,2,2,1.0,0,0,0.0,3,5,0.6,2,2,0,1,2,7
15.45,3,3,1.0,0,0,0.0,4,6,0.667,5,3,0,0,0,10
16.5,2,5,0.4,0,0,0.0,2,2,1.0,1,1,0,0,0,6
10.483333333333333,0,0,0.0,0,0,0.0,5,6,0.833,1,1,0,0,0,5
12.233333333333333,0,0,0.0,0,0,0.0,0,0,0.0,5,0,1,0,4,0
12.853333333333333,4,4,1.0,1,1,1.0,2,2,1.0,2,0,0,1,0,11
