MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.583333333333332,1,6,0.167,0,4,0.0,3,4,0.75,1,1,0,0,0,5
31.066666666666666,4,12,0.333,3,9,0.333,5,6,0.833,8,3,1,1,1,16
17.735,0,5,0.0,0,3,0.0,0,0,0.0,4,3,2,0,0,0
34.583333333333336,2,3,0.667,1,2,0.5,0,0,0.0,4,1,1,0,0,5
32.083333333333336,2,9,0.222,2,9,0.222,0,0,0.0,3,2,0,0,1,6
20.016666666666666,3,6,0.5,1,4,0.25,0,2,0.0,3,2,1,0,0,7
37.78333333333333,5,11,0.455,4,10,0.4,0,0,0.0,7,2,1,0,1,14
35.61666666666667,4,13,0.308,2,7,0.286,0,0,0.0,3,7,1,1,0,10
23.868333333333332,3,6,0.5,3,4,0.75,1,2,0.5,1,0,2,0,1,10
21.5,0,4,0.0,0,2,0.0,0,0,0.0,2,1,0,1,2,0
15.883333333333333,1,2,0.5,0,1,0.0,0,0,0.0,2,1,1,0,0,2
27.3,2,7,0.286,2,5,0.4,0,0,0.0,2,1,0,0,0,6
33.36666666666667,5,9,0.556,2,5,0.4,1,3,0.333,2,0,0,0,1,13
31.216666666666665,7,9,0.778,4,5,0.8,0,1,0.0,4,3,0,0,1,18
32.85,4,10,0.4,3,7,0.429,2,2,1.0,5,2,1,1,2,13
30.15,7,10,0.7,7,9,0.778,4,6,0.667,5,1,0,1,0,25
31.2,4,8,0.5,4,8,0.5,3,4,0.75,3,2,1,0,0,15
29.165,2,6,0.333,1,4,0.25,0,0,0.0,6,0,2,0,0,5
35.166666666666664,6,11,0.545,4,8,0.5,1,1,1.0,6,0,3,0,1,17
