MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.93333333333333,3,15,0.2,0,5,0.0,4,5,0.8,5,5,1,0,0,10
35.733333333333334,8,22,0.364,2,7,0.286,9,9,1.0,2,5,0,1,1,27
32.18333333333333,11,22,0.5,3,7,0.429,1,1,1.0,6,3,1,1,0,26
34.8,11,22,0.5,4,8,0.5,2,2,1.0,6,2,2,2,0,28
33.0,8,17,0.471,2,6,0.333,5,5,1.0,2,1,1,0,0,23
33.7,16,29,0.552,3,10,0.3,4,4,1.0,4,6,2,1,0,39
25.766666666666666,6,13,0.462,3,7,0.429,2,4,0.5,2,6,1,0,0,17
29.016666666666666,13,20,0.65,7,10,0.7,2,2,1.0,6,7,1,0,1,35
28.283333333333335,8,19,0.421,5,9,0.556,6,6,1.0,6,3,2,2,0,27
35.86666666666667,8,19,0.421,3,7,0.429,3,3,1.0,4,5,1,0,0,22
36.916666666666664,8,20,0.4,2,6,0.333,3,5,0.6,6,10,3,3,0,21
33.968333333333334,6,14,0.429,2,6,0.333,4,4,1.0,3,10,2,1,1,18
34.86666666666667,9,15,0.6,1,5,0.2,3,4,0.75,1,7,3,4,2,22
33.935,6,17,0.353,1,4,0.25,4,4,1.0,7,6,0,0,0,17
36.24166666666667,10,24,0.417,1,8,0.125,1,1,1.0,2,6,2,1,0,22
