MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
45.983333333333334,11,22,0.5,5,13,0.385,9,14,0.643,15,18,7,2,2,36
37.93333333333333,15,29,0.517,3,10,0.3,8,9,0.889,9,9,0,2,0,41
38.083333333333336,12,27,0.444,1,8,0.125,5,5,1.0,3,4,4,2,2,30
38.75,10,26,0.385,3,12,0.25,7,8,0.875,12,8,0,2,0,30
31.783333333333335,7,19,0.368,3,7,0.429,8,10,0.8,10,7,2,3,0,25
35.31666666666667,15,26,0.577,4,9,0.444,1,4,0.25,9,9,3,0,0,35
32.416666666666664,7,18,0.389,4,11,0.364,8,12,0.667,7,10,3,0,0,26
26.25,5,16,0.313,3,5,0.6,3,5,0.6,2,2,8,0,0,16
27.983333333333334,11,18,0.611,4,9,0.444,4,5,0.8,4,9,2,1,0,30
31.683333333333334,17,21,0.81,6,9,0.667,4,4,1.0,6,6,1,1,0,44
38.4,11,26,0.423,2,10,0.2,7,10,0.7,7,8,4,4,1,31
35.15,9,17,0.529,5,10,0.5,6,6,1.0,3,6,6,2,0,29
36.416666666666664,8,19,0.421,1,9,0.111,6,7,0.857,12,9,4,0,1,23
38.266666666666666,11,24,0.458,6,11,0.545,6,7,0.857,10,8,9,0,1,34
40.055,5,16,0.313,1,8,0.125,7,9,0.778,7,10,6,2,1,18
40.0,11,22,0.5,6,12,0.5,7,10,0.7,12,12,6,1,1,35
36.03,16,25,0.64,9,14,0.643,8,10,0.8,10,7,0,0,0,49
34.24166666666667,13,25,0.52,3,11,0.273,4,7,0.571,13,10,4,2,0,33
