MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
21.671666666666667,4,12,0.333,3,8,0.375,0,0,0.0,1,0,0,0,0,11
29.283333333333335,5,14,0.357,2,9,0.222,0,0,0.0,3,0,1,0,0,12
29.92,2,10,0.2,2,8,0.25,1,2,0.5,2,3,0,1,0,7
27.483333333333334,5,11,0.455,2,4,0.5,2,2,1.0,2,2,0,0,0,14
26.316666666666666,6,14,0.429,4,10,0.4,1,1,1.0,2,2,1,0,0,17
26.8,11,20,0.55,7,11,0.636,2,5,0.4,4,3,1,0,0,31
21.383333333333333,5,11,0.455,3,9,0.333,4,4,1.0,0,1,1,0,0,17
28.166666666666668,4,14,0.286,3,10,0.3,4,4,1.0,9,2,0,0,0,15
26.746666666666666,6,13,0.462,2,8,0.25,3,3,1.0,3,3,0,0,0,17
25.566666666666666,6,11,0.545,5,9,0.556,0,0,0.0,2,1,3,0,0,17
30.833333333333332,8,16,0.5,4,11,0.364,1,1,1.0,6,0,0,0,0,21
32.21666666666667,5,17,0.294,4,12,0.333,2,2,1.0,2,1,0,0,0,16
26.75,3,8,0.375,1,5,0.2,2,2,1.0,3,2,2,1,0,9
27.47,8,15,0.533,7,13,0.538,1,1,1.0,3,2,2,1,0,24
29.233333333333334,8,14,0.571,3,7,0.429,2,2,1.0,5,0,1,0,0,21
30.218333333333334,6,17,0.353,3,7,0.429,4,4,1.0,4,1,1,0,0,19
27.916666666666668,5,14,0.357,3,10,0.3,4,4,1.0,6,4,1,1,0,17
