MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
20.72833333333333,5,10,0.5,0,3,0.0,0,1,0.0,11,6,1,2,1,10
16.45,2,6,0.333,1,2,0.5,0,0,0.0,2,5,0,0,0,5
18.916666666666668,3,7,0.429,0,1,0.0,0,0,0.0,3,5,1,2,0,6
19.433333333333334,2,4,0.5,2,2,1.0,2,2,1.0,4,6,4,0,0,8
26.95,5,10,0.5,0,1,0.0,4,4,1.0,4,7,0,0,0,14
24.583333333333332,2,7,0.286,0,3,0.0,0,0,0.0,1,5,1,2,0,4
11.115,1,3,0.333,0,0,0.0,0,0,0.0,0,1,0,0,0,2
14.501666666666667,2,5,0.4,1,4,0.25,0,0,0.0,1,1,1,1,2,5
16.456666666666667,3,9,0.333,1,2,0.5,0,0,0.0,1,1,1,1,0,7
14.013333333333334,1,4,0.25,0,1,0.0,1,2,0.5,4,2,1,1,0,3
15.833333333333334,4,5,0.8,2,3,0.667,0,0,0.0,4,1,1,0,0,10
