MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
14.333333333333334,2,5,0.4,2,4,0.5,1,2,0.5,2,1,1,0,0,7
22.55,2,6,0.333,1,4,0.25,2,3,0.667,1,2,3,0,1,7
25.0,6,13,0.462,6,10,0.6,2,2,1.0,1,0,2,2,0,20
13.705,2,6,0.333,2,5,0.4,2,2,1.0,1,0,2,0,0,8
16.17,3,7,0.429,2,4,0.5,0,1,0.0,2,1,1,0,1,8
32.43333333333333,9,17,0.529,6,11,0.545,2,2,1.0,6,2,2,0,0,26
26.166666666666668,9,18,0.5,2,7,0.286,3,4,0.75,3,1,2,1,0,23
19.516666666666666,4,9,0.444,3,6,0.5,0,0,0.0,2,1,2,2,0,11
13.615,2,8,0.25,1,3,0.333,0,0,0.0,2,2,1,0,0,5
20.275,8,12,0.667,3,4,0.75,1,1,1.0,7,4,0,0,1,20
27.9,8,16,0.5,3,7,0.429,2,2,1.0,1,0,0,1,1,21
22.598333333333333,8,14,0.571,3,7,0.429,0,0,0.0,4,2,3,0,0,19
17.295,5,8,0.625,1,2,0.5,2,2,1.0,3,1,1,0,0,13
15.85,5,10,0.5,1,4,0.25,0,0,0.0,1,1,0,0,1,11
24.763333333333332,4,9,0.444,1,4,0.25,8,11,0.727,3,4,3,3,0,17
28.72,6,13,0.462,3,7,0.429,4,6,0.667,5,4,0,1,1,19
21.173333333333332,5,9,0.556,4,6,0.667,0,0,0.0,1,2,2,0,1,14
