MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.385,12,20,0.6,3,6,0.5,15,18,0.833,5,3,3,1,3,42
37.7,9,22,0.409,2,5,0.4,2,3,0.667,9,4,2,2,0,22
37.9,9,17,0.529,1,3,0.333,3,3,1.0,10,5,5,0,0,22
35.733333333333334,5,7,0.714,4,6,0.667,1,2,0.5,2,6,2,0,0,15
32.95,8,19,0.421,3,6,0.5,5,5,1.0,6,3,3,2,1,24
43.61666666666667,16,31,0.516,2,6,0.333,11,12,0.917,10,4,1,2,0,45
29.216666666666665,8,12,0.667,2,2,1.0,0,0,0.0,1,3,2,0,0,18
35.016666666666666,6,15,0.4,2,6,0.333,9,10,0.9,7,5,3,0,0,23
32.416666666666664,9,17,0.529,3,5,0.6,0,1,0.0,5,4,6,4,0,21
34.36666666666667,11,29,0.379,2,14,0.143,3,5,0.6,13,2,4,1,0,27
27.683333333333334,4,11,0.364,1,6,0.167,3,3,1.0,5,1,2,0,0,12
34.1,4,11,0.364,1,4,0.25,1,2,0.5,8,7,3,2,2,10
38.65,12,21,0.571,1,5,0.2,6,7,0.857,5,4,1,1,1,31
37.80166666666667,7,20,0.35,4,11,0.364,1,1,1.0,6,4,0,1,1,19
33.47666666666667,8,17,0.471,3,8,0.375,1,2,0.5,2,3,0,0,0,20
30.625,7,16,0.438,2,7,0.286,5,5,1.0,7,5,2,1,0,21
37.74166666666667,10,13,0.769,1,3,0.333,3,3,1.0,7,4,5,1,1,24
35.46333333333333,6,17,0.353,3,7,0.429,3,3,1.0,4,3,1,0,0,18
35.185,6,12,0.5,0,2,0.0,8,9,0.889,6,4,3,3,0,20
