MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.065,1,3,0.333,1,3,0.333,0,0,0.0,6,7,0,1,0,3
30.85,6,12,0.5,6,12,0.5,0,0,0.0,7,4,1,2,2,18
35.95,7,11,0.636,6,10,0.6,0,0,0.0,9,4,1,1,0,20
28.95,2,6,0.333,2,5,0.4,0,0,0.0,2,4,1,2,1,6
20.738333333333333,0,3,0.0,0,2,0.0,0,2,0.0,3,1,1,1,1,0
25.416666666666668,0,2,0.0,0,0,0.0,0,0,0.0,4,3,1,1,2,0
20.1,2,5,0.4,1,4,0.25,0,0,0.0,0,4,1,1,0,5
33.833333333333336,4,6,0.667,4,6,0.667,1,2,0.5,4,1,1,0,0,13
30.55,3,8,0.375,3,7,0.429,1,2,0.5,6,4,2,2,0,10
26.833333333333332,1,3,0.333,1,3,0.333,0,0,0.0,3,4,1,0,0,3
33.78333333333333,4,10,0.4,4,8,0.5,0,0,0.0,10,2,0,0,3,12
25.116666666666667,4,8,0.5,4,7,0.571,0,0,0.0,9,3,1,0,1,12
36.935,2,15,0.133,2,13,0.154,0,0,0.0,4,3,0,1,1,6
31.766666666666666,3,10,0.3,3,9,0.333,0,0,0.0,5,8,0,0,1,9
38.59166666666667,2,6,0.333,2,5,0.4,0,0,0.0,7,5,3,2,1,6
31.833333333333332,3,8,0.375,2,6,0.333,0,0,0.0,2,0,0,0,2,8
34.11666666666667,4,9,0.444,3,7,0.429,0,0,0.0,10,3,3,1,0,11
22.801666666666666,2,6,0.333,1,4,0.25,0,0,0.0,7,2,1,0,0,5
