MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.45166666666667,8,15,0.533,3,7,0.429,3,4,0.75,4,3,2,0,0,22
34.2,3,9,0.333,1,6,0.167,2,2,1.0,4,8,1,0,0,9
37.9,5,17,0.294,3,11,0.273,10,10,1.0,9,8,1,4,0,23
38.36666666666667,7,17,0.412,3,9,0.333,7,8,0.875,5,7,2,1,0,24
36.41,4,9,0.444,2,7,0.286,4,4,1.0,2,11,3,2,0,14
41.8,9,23,0.391,3,8,0.375,5,5,1.0,6,12,4,0,0,26
27.633333333333333,3,10,0.3,1,4,0.25,5,6,0.833,4,5,2,0,1,12
32.6,2,9,0.222,2,7,0.286,4,6,0.667,5,7,2,0,0,10
37.516666666666666,10,18,0.556,5,10,0.5,4,6,0.667,5,9,1,0,0,29
30.716666666666665,3,10,0.3,0,5,0.0,6,7,0.857,4,3,0,2,1,12
19.933333333333334,3,7,0.429,3,6,0.5,3,4,0.75,4,4,2,0,0,12
26.233333333333334,2,8,0.25,2,7,0.286,1,2,0.5,3,4,2,0,0,7
23.695,1,4,0.25,1,3,0.333,0,0,0.0,3,3,0,0,0,3
35.28333333333333,8,14,0.571,3,7,0.429,0,3,0.0,6,6,1,0,0,19
30.933333333333334,4,7,0.571,2,4,0.5,0,0,0.0,3,9,3,2,0,10
12.9,2,6,0.333,1,3,0.333,0,0,0.0,1,3,1,0,0,5
39.71333333333333,8,17,0.471,6,12,0.5,1,2,0.5,3,8,2,0,0,23
23.95,1,3,0.333,1,3,0.333,2,2,1.0,1,3,1,0,0,5
