MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
13.8,3,5,0.6,0,1,0.0,0,0,0.0,4,2,0,0,0,6
11.31,1,2,0.5,0,0,0.0,0,0,0.0,1,0,3,0,0,2
17.15,5,8,0.625,1,2,0.5,0,1,0.0,4,2,0,1,0,11
12.871666666666666,3,5,0.6,1,1,1.0,0,0,0.0,2,0,1,1,0,7
15.383333333333333,3,8,0.375,1,2,0.5,0,0,0.0,7,1,3,0,0,7
21.55,3,9,0.333,0,2,0.0,2,2,1.0,4,4,2,1,1,8
10.13,2,3,0.667,0,0,0.0,0,0,0.0,2,1,0,0,0,4
27.2,6,11,0.545,0,1,0.0,2,2,1.0,7,3,0,0,1,14
18.8,3,6,0.5,1,2,0.5,2,2,1.0,5,2,4,3,0,9
13.908333333333333,4,6,0.667,1,2,0.5,2,2,1.0,4,4,1,1,0,11
