MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.666666666666664,8,13,0.615,1,3,0.333,0,0,0.0,7,3,1,0,1,17
39.016666666666666,0,12,0.0,0,4,0.0,2,4,0.5,7,2,1,0,0,2
36.68333333333333,7,16,0.438,1,3,0.333,0,2,0.0,10,1,2,2,0,15
36.96666666666667,4,11,0.364,0,1,0.0,3,4,0.75,9,7,2,1,0,11
31.616666666666667,4,11,0.364,0,2,0.0,3,6,0.5,4,5,1,1,2,11
39.15,7,14,0.5,0,4,0.0,0,3,0.0,8,2,0,1,0,14
39.4,8,12,0.667,1,2,0.5,3,3,1.0,5,5,3,0,0,20
38.5,6,10,0.6,1,2,0.5,3,6,0.5,8,5,2,0,2,16
34.416666666666664,5,14,0.357,1,2,0.5,3,4,0.75,11,3,2,3,1,14
36.17166666666667,7,11,0.636,0,2,0.0,1,2,0.5,12,6,2,0,1,15
34.68333333333333,4,9,0.444,1,3,0.333,6,8,0.75,12,5,3,2,1,15
35.233333333333334,8,17,0.471,2,6,0.333,0,0,0.0,8,6,4,2,1,18
18.45,2,3,0.667,0,1,0.0,0,0,0.0,2,2,2,0,1,4
33.2,10,12,0.833,0,0,0.0,1,4,0.25,7,2,3,0,0,21
23.083333333333332,4,7,0.571,0,1,0.0,1,3,0.333,3,2,1,1,3,9
30.333333333333332,5,11,0.455,0,1,0.0,0,1,0.0,2,3,1,3,1,10
34.971666666666664,7,11,0.636,1,2,0.5,0,0,0.0,7,5,0,2,1,15
