SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022201227,2023-04-09T00:00:00,DEN vs. SAC,W,26.783333333333335,2,3,0.667,0,0,0.0,2,2,1.0,3,5,8,2,3,1,0,0,3,2,6,2,18.6,0,0,18.0,1,1,1,1,3,16,16,26,2,2,2,2,4,1,3,10,6,3,2,3,19,1,29,8,13,11,12,3,1,10,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022201201,2023-04-06T00:00:00,DEN @ PHX,L,30.05,6,6,1.0,0,0,0.0,0,0,0.0,3,8,11,1,1,0,0,0,1,1,12,-7,25.7,1,0,24.0,1,24,24,24,2,1,2,1,2,2,2,17,24,17,3,4,4,10,15,10,19,1,7,19,1,25,3,1,1,4,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022201183,2023-04-04T00:00:00,DEN @ HOU,L,8.333333333333334,3,4,0.75,0,0,0.0,1,2,0.5,3,0,3,0,1,0,0,0,0,1,7,-2,9.6,0,0,10.0,1,24,24,24,33,10,9,22,2,2,2,6,4,5,3,38,23,24,15,10,19,1,1,19,12,18,27,3,1,21,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022201160,2023-03-31T00:00:00,DEN @ PHX,L,21.366666666666667,2,5,0.4,0,0,0.0,1,3,0.333,2,10,12,0,1,3,1,0,2,3,5,-8,30.4,0,0,25.0,1,24,24,24,7,16,5,34,2,2,2,6,2,16,8,2,3,24,15,1,5,1,21,3,17,26,2,3,1,3,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200952,2023-03-03T00:00:00,DEN vs. MEM,W,1.7666666666666666,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,2,1,3.2,0,0,3.0,1,1,1,1,39,27,31,1,2,2,2,17,24,17,29,34,37,24,28,10,19,1,1,27,28,12,39,3,1,38,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200847,2023-02-11T00:00:00,DEN @ CHA,W,11.933333333333334,4,4,1.0,0,0,0.0,1,2,0.5,1,3,4,1,3,0,1,0,5,2,9,-6,15.3,0,0,16.0,1,1,1,1,25,4,9,1,2,2,2,6,4,5,16,18,20,10,2,10,5,1,37,8,5,23,17,3,1,14,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200806,2023-02-05T00:00:00,DEN @ MIN,L,24.75,3,5,0.6,0,0,0.0,0,1,0.0,1,5,6,0,2,1,1,0,1,4,6,-11,17.2,0,0,16.0,1,24,24,24,6,10,5,30,2,2,2,17,20,17,16,10,12,24,7,3,5,1,7,1,13,31,14,3,1,14,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200723,2023-01-25T00:00:00,DEN @ MIL,L,10.816666666666666,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,2,1,1,0,0,6,0,2,-13,10.6,0,0,9.0,1,24,24,24,28,27,31,1,2,2,2,17,24,17,16,21,23,3,15,3,19,1,39,27,28,34,24,3,1,23,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200688,2023-01-20T00:00:00,DEN vs. IND,W,17.816666666666666,5,7,0.714,0,0,0.0,0,0,0.0,1,1,2,3,2,1,1,1,1,0,10,6,20.9,0,0,19.0,1,1,1,1,12,2,1,25,2,2,2,17,24,17,16,34,29,1,7,3,5,34,7,27,3,8,7,3,1,5,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200653,2023-01-15T00:00:00,DEN vs. ORL,W,13.216666666666667,1,1,1.0,0,0,0.0,0,2,0.0,1,2,3,0,2,0,0,0,4,1,2,-13,3.6,0,0,5.0,1,1,1,1,20,27,31,1,2,2,2,17,4,17,16,21,23,24,7,10,19,1,36,19,28,34,38,3,1,35,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200639,2023-01-13T00:00:00,DEN @ LAC,W,26.483333333333334,4,4,1.0,0,0,0.0,0,0,0.0,0,6,6,3,3,0,0,0,1,0,8,8,16.7,0,0,17.0,1,1,1,1,4,4,9,1,2,2,2,17,24,17,29,6,12,1,2,10,19,1,7,27,7,6,15,3,1,11,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200588,2023-01-06T00:00:00,DEN vs. CLE,W,5.933333333333334,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,0,3,0,2,-1,11.9,0,0,9.0,1,1,1,1,38,27,31,1,2,2,2,17,24,17,29,21,29,10,28,10,2,1,29,27,28,16,19,3,1,23,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200535,2022-12-30T00:00:00,DEN vs. MIA,W,11.716666666666667,3,4,0.75,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,3,0,6,-9,9.6,0,0,9.0,1,1,1,1,26,10,9,22,2,2,2,17,24,17,16,21,23,24,28,10,19,1,29,27,13,28,27,3,1,23,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200522,2022-12-28T00:00:00,DEN @ SAC,L,15.516666666666667,0,2,0.0,0,0,0.0,1,2,0.5,1,6,7,0,2,0,1,1,1,3,1,0,10.4,0,0,10.0,1,24,24,24,16,35,21,35,2,2,2,6,4,5,16,6,10,24,7,10,5,34,7,3,35,13,25,3,1,21,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200514,2022-12-27T00:00:00,DEN @ SAC,W,6.7,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,2,0,0,0,0,4,-8,11.2,0,0,9.0,1,1,1,1,36,16,21,1,2,2,2,17,24,17,29,34,37,24,28,2,19,1,1,27,21,26,22,3,1,23,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200450,2022-12-18T00:00:00,DEN vs. CHA,W,8.316666666666666,0,0,0.0,0,0,0.0,1,2,0.5,1,2,3,1,0,0,0,0,2,2,1,-16,6.1,0,0,5.0,1,1,1,1,34,35,38,35,2,2,2,6,4,5,16,21,23,10,28,10,19,1,21,8,35,38,35,3,1,35,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200437,2022-12-16T00:00:00,DEN @ LAL,L,7.066666666666666,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,1,0,4,0,6.4,0,0,6.0,1,24,24,24,35,16,21,1,2,2,2,17,24,17,29,21,29,24,28,10,19,1,7,27,21,13,33,3,1,34,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200422,2022-12-14T00:00:00,DEN vs. WAS,W,13.216666666666667,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,1,3,0,4,-12,8.4,0,0,8.0,1,1,1,1,20,16,16,26,2,2,2,17,24,17,29,21,29,24,15,10,5,34,29,27,21,33,31,3,1,29,1
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,0022200393,2022-12-10T00:00:00,DEN vs. UTA,W,12.633333333333333,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,1,1,0,0,0,2,0,2,-5,8.5,0,0,8.0,1,1,1,1,23,27,31,1,2,2,2,17,24,17,16,15,17,10,15,10,19,1,21,27,28,20,30,3,1,29,1
