SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201213,2023-04-08T00:00:00,DEN @ UTA,L,28.466666666666665,7,13,0.538,4,10,0.4,2,2,1.0,1,3,4,5,3,1,1,0,4,0,20,1,35.3,0,0,37.0,1,44,44,44,53,30,47,13,10,8,28,36,42,1,10,32,26,40,13,23,5,1,62,58,33,43,33,6,2,31,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201183,2023-04-04T00:00:00,DEN @ HOU,L,9.466666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,4,0,0,0,0,1,0,2,7,8.0,0,0,6.0,1,44,44,44,65,65,65,20,61,65,61,55,56,55,33,64,65,50,58,41,13,1,17,58,65,32,65,6,2,65,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201175,2023-04-02T00:00:00,DEN vs. GSW,W,41.49666666666667,10,21,0.476,3,8,0.375,3,3,1.0,1,2,3,8,3,2,2,1,2,7,26,8,50.6,0,0,48.0,1,1,1,1,2,9,6,28,20,17,35,23,31,1,10,41,42,14,13,5,1,38,31,2,9,29,7,6,2,8,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201147,2023-03-30T00:00:00,DEN vs. NOP,L,35.88333333333333,6,15,0.4,4,10,0.4,5,5,1.0,1,3,4,7,2,1,0,0,1,4,21,-16,37.3,0,0,38.0,1,44,44,44,18,40,35,44,10,8,28,8,11,1,10,32,26,20,27,23,13,1,17,10,27,62,28,6,2,26,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201126,2023-03-27T00:00:00,DEN vs. PHI,W,35.766666666666666,8,14,0.571,3,6,0.5,0,0,0.0,0,5,5,7,4,2,0,0,3,3,19,6,37.5,0,0,38.0,1,1,1,1,20,23,43,10,20,33,12,55,56,55,33,4,12,20,6,5,13,1,52,22,35,35,27,6,2,26,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201109,2023-03-25T00:00:00,DEN vs. MIL,W,32.766666666666666,9,19,0.474,5,10,0.5,3,4,0.75,0,6,6,9,3,0,1,0,3,3,26,14,46.7,0,0,48.0,1,1,1,1,38,12,14,30,3,8,12,23,18,35,33,3,7,7,13,41,5,1,52,22,9,16,9,6,2,8,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201083,2023-03-22T00:00:00,DEN @ WAS,W,33.13333333333333,7,13,0.538,3,6,0.5,0,0,0.0,1,5,6,8,2,0,0,0,2,1,17,22,34.2,0,0,34.0,1,1,1,1,35,30,47,13,20,33,12,55,56,55,10,4,7,14,27,41,13,1,31,47,43,2,37,6,2,37,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201063,2023-03-19T00:00:00,DEN @ BKN,W,37.0,9,19,0.474,4,4,1.0,3,3,1.0,0,1,1,8,2,0,0,0,0,1,25,8,36.2,0,0,38.0,1,1,1,1,15,12,14,30,10,51,1,23,31,1,33,54,57,14,27,41,13,1,1,47,14,29,31,6,2,26,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201055,2023-03-18T00:00:00,DEN @ NYK,L,34.75,9,14,0.643,5,7,0.714,2,3,0.667,0,4,4,6,2,1,0,1,4,2,25,-10,39.8,0,0,42.0,1,44,44,44,27,12,43,5,3,24,4,36,31,43,33,15,26,29,27,23,13,38,62,36,14,54,25,6,2,17,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201042,2023-03-16T00:00:00,DEN @ DET,W,38.695,7,15,0.467,2,5,0.4,3,3,1.0,1,5,6,10,4,0,0,0,2,1,19,21,37.2,1,0,37.0,1,1,1,1,9,30,35,33,35,41,28,23,31,1,10,4,7,5,6,41,13,1,31,47,35,4,29,1,2,31,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201029,2023-03-14T00:00:00,DEN @ TOR,L,40.35,5,18,0.278,1,8,0.125,3,4,0.75,0,2,2,9,5,2,1,0,3,3,14,-20,33.9,0,0,32.0,1,44,44,44,4,52,22,58,47,17,60,23,18,35,33,41,47,7,1,5,5,1,52,22,50,65,38,6,2,43,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201014,2023-03-12T00:00:00,DEN vs. BKN,L,28.3,5,19,0.263,5,12,0.417,1,2,0.5,1,2,3,1,2,0,0,0,3,1,16,-13,19.1,0,0,25.0,1,44,44,44,54,52,14,60,3,2,27,45,42,47,10,41,42,61,27,41,13,1,52,47,46,56,59,6,2,52,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022201002,2023-03-10T00:00:00,DEN @ SAS,L,37.3,9,21,0.429,2,8,0.25,4,4,1.0,2,4,6,7,4,3,2,0,2,3,24,-4,52.7,0,0,49.0,1,44,44,44,13,12,6,39,35,17,52,14,18,1,5,15,7,20,6,1,1,1,31,22,19,48,5,6,2,6,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200989,2023-03-08T00:00:00,DEN vs. CHI,L,35.2,4,15,0.267,1,7,0.143,2,2,1.0,0,2,2,5,2,0,0,0,2,3,11,-14,18.9,0,0,19.0,1,44,44,44,25,56,35,59,47,24,58,36,42,1,33,41,47,40,27,41,13,1,31,22,58,59,60,6,2,59,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200975,2023-03-06T00:00:00,DEN vs. TOR,W,33.06666666666667,9,14,0.643,5,10,0.5,1,1,1.0,0,1,1,5,1,3,0,0,1,2,24,4,40.7,0,0,41.0,1,1,1,1,36,12,43,5,3,8,12,45,52,1,33,54,57,40,46,1,13,1,17,36,19,38,23,6,2,19,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200952,2023-03-03T00:00:00,DEN vs. MEM,W,37.016666666666666,8,19,0.421,4,8,0.5,2,4,0.5,1,4,5,9,2,2,0,2,3,3,22,9,45.5,0,0,44.0,1,1,1,1,14,23,14,42,10,17,12,36,18,47,10,15,12,7,27,5,13,59,52,22,25,28,12,6,2,14,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200926,2023-02-28T00:00:00,DEN @ HOU,W,31.7,12,18,0.667,5,10,0.5,3,3,1.0,1,3,4,6,2,1,0,0,2,2,32,20,46.8,0,0,49.0,1,1,1,1,43,4,22,3,3,8,12,23,31,1,10,32,26,29,27,23,13,1,31,36,4,6,8,6,2,6,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200918,2023-02-26T00:00:00,DEN vs. LAC,W,41.196666666666665,8,22,0.364,4,13,0.308,1,2,0.5,1,4,5,12,5,2,0,1,2,3,21,13,46.0,1,0,46.0,1,1,1,1,3,23,5,51,10,1,46,45,42,47,10,15,12,2,1,5,13,38,31,22,27,18,11,1,2,12,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200907,2023-02-25T00:00:00,DEN @ MEM,L,25.016666666666666,3,13,0.231,1,5,0.2,1,1,1.0,2,1,3,4,1,1,0,2,1,0,8,-13,19.6,0,0,18.0,1,44,44,44,61,59,47,63,47,41,55,45,52,1,5,54,42,50,46,23,13,59,17,58,61,56,58,6,2,60,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200886,2023-02-23T00:00:00,DEN @ CLE,W,33.166666666666664,6,19,0.316,3,11,0.273,1,2,0.5,0,1,1,9,2,2,0,1,2,3,16,13,34.7,0,0,33.0,1,1,1,1,34,40,14,57,20,5,50,45,42,47,33,54,57,7,27,5,13,38,31,22,46,18,36,6,2,40,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200801,2023-02-04T00:00:00,DEN vs. ATL,W,36.03333333333333,15,24,0.625,7,12,0.583,4,4,1.0,1,4,5,7,1,1,0,1,0,2,41,25,59.5,0,0,62.0,1,1,1,1,17,1,2,7,1,2,8,14,18,1,10,15,12,20,46,23,13,38,1,36,1,1,1,6,2,1,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200783,2023-02-02T00:00:00,DEN vs. GSW,W,30.283333333333335,12,23,0.522,3,11,0.273,6,8,0.75,0,5,5,8,1,1,0,1,3,7,33,14,53.0,0,0,51.0,1,1,1,1,48,4,3,19,20,5,50,5,2,35,33,4,12,14,46,23,13,38,52,2,3,16,3,6,2,4,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200768,2023-01-31T00:00:00,DEN vs. NOP,W,35.733333333333334,10,21,0.476,7,12,0.583,5,5,1.0,1,4,5,6,5,0,0,1,1,4,32,18,42.0,0,0,50.0,1,1,1,1,21,9,6,28,1,2,8,8,11,1,10,15,12,29,1,41,13,38,17,10,4,10,20,6,2,5,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200741,2023-01-28T00:00:00,DEN @ PHI,L,38.8,7,16,0.438,2,7,0.286,6,7,0.857,1,3,4,6,4,1,0,1,3,4,22,-14,34.8,0,0,36.0,1,44,44,44,8,30,33,38,35,24,49,5,5,29,10,32,26,29,6,23,13,38,52,10,25,59,35,6,2,34,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200716,2023-01-24T00:00:00,DEN @ NOP,W,40.21666666666667,11,21,0.524,3,8,0.375,0,0,0.0,0,1,1,7,2,3,0,0,0,3,25,6,43.7,0,0,42.0,1,1,1,1,5,6,6,18,20,17,35,55,56,55,33,54,57,20,27,1,13,1,1,22,14,35,17,6,2,17,1
2022-23,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,0022200702,2023-01-22T00:00:00,DEN vs. OKC,L,38.28333333333333,11,23,0.478,1,6,0.167,3,4,0.75,0,5,5,9,1,0,0,1,1,4,26,-4,44.5,0,0,41.0,1,44,44,44,11,6,3,27,47,33,57,23,18,35,33,4,12,7,46,41,13,38,17,10,9,48,15,6,2,19,1
