SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201224,2023-04-09T00:00:00,DAL vs. SAS,L,23.3,2,9,0.222,1,5,0.2,0,0,0.0,0,2,2,0,0,1,0,1,3,1,5,-15,10.4,0,0,10.0,1,19,19,19,7,11,3,28,12,10,22,3,5,3,6,6,7,27,18,8,15,38,40,2,14,42,15,1,1,18,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201210,2023-04-07T00:00:00,DAL vs. CHI,L,26.45,5,11,0.455,1,6,0.167,0,1,0.0,1,5,6,3,1,2,1,1,2,1,11,12,30.7,0,0,27.0,1,19,19,19,3,2,1,14,12,3,25,3,4,3,1,1,1,1,5,1,4,38,27,2,5,5,1,1,1,2,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201161,2023-04-01T00:00:00,DAL @ MIA,L,4.22,0,1,0.0,0,1,0.0,3,3,1.0,0,0,0,0,0,0,0,0,0,1,3,0,3.0,0,0,3.0,1,19,19,19,43,32,36,32,27,31,27,1,1,1,6,30,30,27,18,13,15,1,1,2,23,17,37,1,1,36,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201123,2023-03-27T00:00:00,DAL @ IND,W,9.083333333333334,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,0,1,0,0,0,0,1,4,-6,5.4,0,0,6.0,1,1,1,1,35,22,30,11,27,31,27,2,2,1,6,6,7,27,5,13,15,1,1,2,21,30,32,1,1,27,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201113,2023-03-26T00:00:00,DAL @ CHA,L,13.933333333333334,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,1,0,0,7,2.7,0,0,2.0,1,19,19,19,28,32,30,32,27,27,27,3,5,3,6,15,17,12,18,13,15,1,11,17,33,7,40,1,1,38,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201101,2023-03-24T00:00:00,DAL vs. CHA,L,0.95,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,-8,0.0,0,0,0.0,1,19,19,19,46,32,30,32,27,31,27,3,5,3,6,30,30,27,18,13,15,1,27,17,33,32,45,1,1,45,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201086,2023-03-22T00:00:00,DAL vs. GSW,L,23.005,2,6,0.333,1,5,0.2,0,0,0.0,0,2,2,1,0,0,0,1,4,0,5,-2,8.9,0,0,9.0,1,19,19,19,8,11,16,20,12,10,22,3,5,3,6,6,7,12,18,13,15,38,43,17,14,20,20,1,1,19,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201054,2023-03-17T00:00:00,DAL @ LAL,W,16.125,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,1,1,2,2,0,1,0,2,3,16.9,0,0,13.0,1,1,1,1,23,22,36,1,27,44,27,3,5,3,1,15,7,12,5,1,3,1,11,17,30,9,6,1,1,11,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201040,2023-03-15T00:00:00,DAL @ SAS,W,12.41,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-12,0.2,0,0,1.0,1,1,1,1,32,32,36,32,27,31,27,3,5,3,6,15,17,27,5,13,15,1,1,17,33,38,44,1,1,42,1
2022-23,203200,Justin Holiday,Justin,1610612742,DAL,Dallas Mavericks,0022201023,2023-03-13T00:00:00,DAL vs. MEM,L,16.583333333333332,4,7,0.571,1,3,0.333,0,0,0.0,0,2,2,2,1,1,0,1,1,0,9,-5,16.4,0,0,16.0,1,19,19,19,20,6,10,10,12,19,13,3,5,3,6,6,7,5,5,8,15,38,11,17,9,28,8,1,1,8,1
