MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
38.0,4,12,0.333,0,3,0.0,1,2,0.5,5,3,4,4,0,9
34.63166666666667,6,10,0.6,3,6,0.5,0,0,0.0,1,5,0,3,0,15
31.591666666666665,4,6,0.667,2,3,0.667,0,0,0.0,1,2,0,0,0,10
38.09,3,14,0.214,0,1,0.0,6,6,1.0,3,2,0,1,0,12
31.466666666666665,5,7,0.714,2,4,0.5,4,4,1.0,1,6,3,1,0,16
39.26833333333333,7,15,0.467,1,5,0.2,5,5,1.0,5,3,2,3,0,20
34.266666666666666,3,8,0.375,2,5,0.4,2,2,1.0,1,2,2,0,0,10
35.516666666666666,8,17,0.471,2,5,0.4,2,2,1.0,3,3,3,2,1,20
30.65,2,9,0.222,1,5,0.2,4,4,1.0,2,2,1,1,1,9
34.86666666666667,3,7,0.429,2,4,0.5,0,0,0.0,1,8,0,1,2,8
38.983333333333334,2,3,0.667,2,3,0.667,3,5,0.6,1,4,1,1,0,9
37.55,2,5,0.4,1,2,0.5,0,0,0.0,0,1,1,1,0,5
35.11666666666667,3,8,0.375,0,3,0.0,4,4,1.0,3,3,0,1,0,10
32.958333333333336,5,10,0.5,3,7,0.429,2,2,1.0,1,7,2,1,0,15
29.75,4,8,0.5,2,4,0.5,0,0,0.0,0,2,1,1,0,10
36.85,3,7,0.429,2,3,0.667,0,0,0.0,5,1,1,2,0,8
26.366666666666667,2,4,0.5,1,1,1.0,1,1,1.0,0,0,1,1,1,6
33.266666666666666,3,5,0.6,2,4,0.5,0,0,0.0,3,0,2,1,2,8
29.866666666666667,2,5,0.4,1,4,0.25,2,2,1.0,3,1,1,2,0,7
34.96666666666667,3,10,0.3,2,6,0.333,0,0,0.0,2,1,0,5,1,8
36.23833333333334,8,12,0.667,2,3,0.667,2,2,1.0,2,1,3,3,1,20
