MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
32.555,6,12,0.5,1,5,0.2,0,0,0.0,8,2,1,0,2,13
36.516666666666666,8,16,0.5,0,4,0.0,3,3,1.0,10,4,2,2,1,19
33.815,11,17,0.647,7,12,0.583,1,3,0.333,10,5,0,1,0,30
28.913333333333334,3,13,0.231,2,7,0.286,0,0,0.0,10,3,1,0,0,8
32.86666666666667,8,14,0.571,4,9,0.444,5,6,0.833,7,2,3,0,1,25
37.17166666666667,6,14,0.429,2,8,0.25,0,0,0.0,7,1,1,1,2,14
30.69,9,16,0.563,5,9,0.556,2,2,1.0,2,0,0,1,0,25
38.266666666666666,5,15,0.333,4,9,0.444,0,1,0.0,11,2,4,0,1,14
27.395,7,15,0.467,5,9,0.556,2,2,1.0,6,0,2,1,0,21
32.89333333333333,8,14,0.571,2,6,0.333,0,1,0.0,11,0,0,0,0,18
34.44,4,11,0.364,2,8,0.25,0,2,0.0,5,0,2,1,1,10
37.72,11,19,0.579,3,10,0.3,0,0,0.0,10,0,2,0,1,25
36.91166666666667,7,17,0.412,3,8,0.375,0,0,0.0,8,2,0,0,2,17
28.623333333333335,8,16,0.5,2,6,0.333,4,4,1.0,9,3,1,0,0,22
30.831666666666667,9,16,0.563,5,10,0.5,4,5,0.8,6,2,2,1,2,27
34.458333333333336,10,18,0.556,4,8,0.5,0,0,0.0,9,1,1,0,2,24
25.066666666666666,2,11,0.182,0,5,0.0,1,1,1.0,5,1,0,1,1,5
18.6,3,8,0.375,2,6,0.333,0,0,0.0,1,2,1,0,1,8
24.65,8,14,0.571,4,7,0.571,0,0,0.0,9,2,1,0,0,20
28.863333333333333,3,7,0.429,2,5,0.4,1,1,1.0,13,3,1,0,0,9
30.121666666666666,5,13,0.385,2,9,0.222,0,0,0.0,12,2,0,2,0,12
