MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
38.166666666666664,13,23,0.565,1,4,0.25,9,12,0.75,13,14,0,2,1,36
34.916666666666664,9,18,0.5,0,3,0.0,3,6,0.5,5,16,3,1,2,21
33.35,12,19,0.632,1,2,0.5,7,8,0.875,10,15,0,1,0,32
34.2,17,29,0.586,0,0,0.0,5,5,1.0,11,9,5,1,0,39
42.15,14,31,0.452,3,8,0.375,7,11,0.636,19,8,3,3,0,38
36.333333333333336,12,18,0.667,1,2,0.5,5,5,1.0,13,12,1,3,2,30
15.216666666666667,4,8,0.5,1,4,0.25,0,0,0.0,5,5,1,0,1,9
27.816666666666666,8,13,0.615,0,0,0.0,2,5,0.4,10,7,3,1,1,18
36.166666666666664,10,20,0.5,1,8,0.125,5,5,1.0,16,18,4,1,1,26
35.75,8,23,0.348,2,7,0.286,14,14,1.0,16,9,4,1,0,32
38.24666666666667,13,26,0.5,2,6,0.333,8,8,1.0,21,11,3,0,1,36
36.6,14,25,0.56,1,8,0.125,6,10,0.6,13,5,3,3,1,35
36.375,15,24,0.625,2,6,0.333,3,5,0.6,14,12,2,1,1,35
33.355,9,16,0.563,1,3,0.333,9,9,1.0,16,9,1,3,0,28
35.583333333333336,14,16,0.875,2,2,1.0,3,5,0.6,14,9,4,1,1,33
29.966666666666665,11,23,0.478,1,6,0.167,2,2,1.0,10,3,5,0,0,25
35.22666666666667,12,16,0.75,1,3,0.333,2,5,0.4,10,11,1,0,2,27
29.866666666666667,12,16,0.75,1,2,0.5,3,3,1.0,14,5,4,0,0,28
34.96666666666667,8,14,0.571,1,4,0.25,5,6,0.833,12,7,9,1,1,22
36.255,12,22,0.545,3,5,0.6,2,4,0.5,13,11,2,1,1,29
