MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.38333333333333,9,18,0.5,2,6,0.333,0,0,0.0,1,8,2,1,0,20
29.415,8,11,0.727,3,4,0.75,1,2,0.5,2,4,1,0,0,20
23.75,6,14,0.429,2,7,0.286,0,0,0.0,2,2,0,0,1,14
40.0,15,19,0.789,3,4,0.75,2,4,0.5,5,13,2,2,0,35
28.258333333333333,7,10,0.7,3,3,1.0,3,3,1.0,7,6,4,1,0,20
25.3,1,7,0.143,0,2,0.0,0,0,0.0,4,3,6,0,1,2
33.766666666666666,5,15,0.333,3,7,0.429,1,1,1.0,4,9,1,0,0,14
32.083333333333336,9,15,0.6,1,3,0.333,2,3,0.667,3,6,0,1,1,21
21.016666666666666,3,5,0.6,1,1,1.0,0,0,0.0,0,1,2,2,0,7
33.32,6,12,0.5,2,7,0.286,0,0,0.0,2,3,4,0,0,14
29.573333333333334,7,11,0.636,0,1,0.0,4,6,0.667,3,4,2,0,1,18
27.886666666666667,6,12,0.5,2,5,0.4,0,0,0.0,4,2,1,0,0,14
32.35,8,17,0.471,3,7,0.429,1,2,0.5,2,6,0,0,0,20
24.291666666666668,2,8,0.25,1,4,0.25,2,2,1.0,1,4,0,0,0,7
25.3,6,10,0.6,3,5,0.6,1,2,0.5,1,3,1,0,1,16
19.85,3,10,0.3,1,4,0.25,1,2,0.5,1,2,3,4,0,8
18.6,1,4,0.25,0,1,0.0,0,0,0.0,0,5,1,2,1,2
18.766666666666666,2,6,0.333,0,3,0.0,0,1,0.0,4,1,1,0,0,4
22.0,2,3,0.667,1,2,0.5,0,0,0.0,0,6,2,2,0,5
21.695,7,13,0.538,2,5,0.4,0,0,0.0,2,6,0,0,0,16
24.066666666666666,3,8,0.375,2,5,0.4,0,0,0.0,3,1,2,1,0,8
