SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201227,2023-04-09T00:00:00,DEN vs. SAC,W,21.55,2,4,0.5,1,1,1.0,6,7,0.857,1,2,3,2,1,2,0,1,1,5,11,-2,22.6,0,0,21.0,1,1,1,1,16,20,23,19,12,32,1,1,1,16,4,18,16,14,7,1,12,52,21,1,11,28,6,2,1,7,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201213,2023-04-08T00:00:00,DEN @ UTA,L,12.0,1,5,0.2,0,3,0.0,0,0,0.0,0,1,1,1,1,0,0,0,1,0,2,-10,3.7,0,0,4.0,1,39,39,39,37,25,14,37,28,10,28,19,19,19,20,29,31,26,7,18,12,1,21,27,33,55,41,2,1,38,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201201,2023-04-06T00:00:00,DEN @ PHX,L,20.4,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,0,0,2,2,0,2,0,2,-2,17.6,0,0,13.0,1,39,39,39,18,25,29,30,28,22,28,19,19,19,20,11,16,38,28,1,2,1,35,27,33,28,14,2,1,21,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201183,2023-04-04T00:00:00,DEN @ HOU,L,5.55,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,0,0,0,0,-6,2.0,0,0,2.0,1,39,39,39,45,41,40,41,28,32,28,19,19,19,20,42,43,14,7,18,12,1,1,27,41,45,47,2,1,46,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201175,2023-04-02T00:00:00,DEN vs. GSW,W,3.3916666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,1,0,-5,3.0,0,0,2.0,1,1,1,1,47,41,40,41,28,32,28,19,19,19,20,42,43,14,28,18,12,1,1,14,41,42,44,2,1,46,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201160,2023-03-31T00:00:00,DEN @ PHX,L,16.4,2,5,0.4,0,2,0.0,2,2,1.0,1,3,4,0,1,0,0,0,3,2,6,-3,9.8,0,0,10.0,1,39,39,39,31,20,14,27,28,22,28,4,4,1,4,11,8,38,7,18,12,1,48,4,21,31,30,2,1,27,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201147,2023-03-30T00:00:00,DEN vs. NOP,L,1.6666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,39,39,39,57,41,50,41,28,47,28,19,19,19,20,42,43,38,28,18,12,1,1,27,41,22,51,2,1,51,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201109,2023-03-25T00:00:00,DEN vs. MIL,W,3.183333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,1.2,0,0,1.0,1,1,1,1,48,41,50,41,28,47,28,19,19,19,20,29,31,38,28,18,12,1,1,27,41,19,48,2,1,48,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201083,2023-03-22T00:00:00,DEN @ WAS,W,2.7333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-6,-1.0,0,0,0.0,1,1,1,1,51,41,50,41,28,47,28,19,19,19,20,42,43,38,7,18,12,1,1,27,41,45,57,2,1,51,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201042,2023-03-16T00:00:00,DEN @ DET,W,1.25,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1.2,0,0,1.0,1,1,1,1,60,41,50,41,28,47,28,19,19,19,20,29,31,38,28,18,12,1,1,27,41,22,48,2,1,48,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201029,2023-03-14T00:00:00,DEN @ TOR,L,1.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,39,39,39,59,41,50,41,28,47,28,19,19,19,20,42,43,38,28,18,12,1,1,27,41,14,51,2,1,51,1
2022-23,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,Denver Nuggets,0022201014,2023-03-12T00:00:00,DEN vs. BKN,L,5.633333333333334,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,0,0,-12,1.2,0,0,1.0,1,39,39,39,44,41,29,41,28,10,28,19,19,19,20,29,31,38,28,18,12,1,35,27,41,58,48,2,1,48,1
