MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
28.72833333333333,7,9,0.778,4,6,0.667,2,4,0.5,4,1,0,0,1,20
22.566666666666666,4,5,0.8,0,1,0.0,1,1,1.0,5,1,1,4,0,9
25.375,3,6,0.5,1,3,0.333,0,1,0.0,3,0,2,3,0,7
24.666666666666668,6,9,0.667,1,3,0.333,4,5,0.8,1,1,0,1,1,17
14.85,0,2,0.0,0,0,0.0,0,0,0.0,1,0,0,0,0,0
22.298333333333332,2,8,0.25,1,5,0.2,1,2,0.5,4,2,1,1,1,6
26.238333333333333,3,6,0.5,2,5,0.4,0,0,0.0,4,3,0,1,0,8
16.49,2,4,0.5,2,3,0.667,0,0,0.0,1,0,1,0,0,6
30.2,9,13,0.692,4,6,0.667,2,2,1.0,2,0,1,2,0,24
16.216666666666665,5,8,0.625,3,4,0.75,2,2,1.0,2,2,0,2,0,15
25.316666666666666,1,5,0.2,1,1,1.0,1,2,0.5,2,1,0,1,2,4
27.475,5,8,0.625,2,4,0.5,1,4,0.25,5,0,2,2,1,13
18.593333333333334,4,9,0.444,1,6,0.167,0,1,0.0,1,1,0,0,0,9
27.316666666666666,1,4,0.25,1,4,0.25,2,2,1.0,4,3,0,0,2,5
30.0,10,16,0.625,5,9,0.556,1,2,0.5,9,0,0,0,0,26
23.083333333333332,2,5,0.4,1,3,0.333,2,2,1.0,5,1,1,0,1,7
