MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
25.166666666666668,6,10,0.6,2,3,0.667,2,3,0.667,5,4,4,0,0,16
23.7,5,7,0.714,0,0,0.0,2,2,1.0,3,0,1,0,0,12
21.5,4,10,0.4,0,2,0.0,3,5,0.6,4,0,2,0,0,11
31.083333333333332,6,12,0.5,1,2,0.5,2,2,1.0,2,0,1,1,0,15
23.81,2,7,0.286,0,1,0.0,1,2,0.5,0,2,0,1,1,5
20.483333333333334,7,10,0.7,2,4,0.5,3,4,0.75,2,1,0,0,0,19
24.993333333333332,4,12,0.333,1,3,0.333,5,5,1.0,6,3,0,1,0,14
15.888333333333334,3,8,0.375,2,4,0.5,0,0,0.0,0,0,2,0,0,8
25.883333333333333,4,11,0.364,0,3,0.0,1,3,0.333,5,1,1,0,1,9
36.31,9,18,0.5,3,7,0.429,5,6,0.833,11,2,1,1,1,26
38.4,9,18,0.5,4,7,0.571,0,0,0.0,9,4,3,2,0,22
21.9,4,8,0.5,0,2,0.0,2,2,1.0,3,2,1,1,0,10
23.933333333333334,3,11,0.273,0,2,0.0,2,2,1.0,5,5,3,1,0,8
24.1,2,7,0.286,1,2,0.5,0,3,0.0,3,5,1,1,0,5
15.29,4,7,0.571,0,3,0.0,0,0,0.0,1,0,0,0,0,8
27.551666666666666,4,11,0.364,1,4,0.25,6,6,1.0,4,0,2,0,0,15
17.066666666666666,5,10,0.5,1,3,0.333,2,3,0.667,0,1,0,0,0,13
25.836666666666666,6,15,0.4,2,6,0.333,4,4,1.0,4,5,2,2,0,18
