MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.335,3,7,0.429,1,4,0.25,0,0,0.0,1,2,1,2,0,7
30.861666666666668,5,16,0.313,2,11,0.182,0,0,0.0,5,5,1,1,2,12
24.09,3,10,0.3,1,6,0.167,2,2,1.0,1,3,2,1,1,9
28.033333333333335,6,11,0.545,3,6,0.5,3,3,1.0,4,0,0,0,0,18
35.3,12,17,0.706,7,12,0.583,0,0,0.0,2,5,1,2,1,31
30.883333333333333,9,11,0.818,6,6,1.0,0,0,0.0,2,1,1,0,0,24
14.983333333333333,1,4,0.25,1,4,0.25,0,0,0.0,1,2,1,0,0,3
28.961666666666666,1,5,0.2,0,3,0.0,0,0,0.0,2,1,5,1,0,2
20.533333333333335,6,14,0.429,4,8,0.5,0,0,0.0,4,3,0,1,1,16
22.39666666666667,4,14,0.286,2,11,0.182,1,1,1.0,2,2,2,1,0,11
22.25,4,16,0.25,2,12,0.167,0,0,0.0,3,1,1,1,1,10
21.1,7,8,0.875,5,6,0.833,0,0,0.0,2,2,4,1,0,19
26.1,7,15,0.467,5,13,0.385,0,1,0.0,6,2,2,0,2,19
30.225,5,9,0.556,4,7,0.571,0,0,0.0,5,2,1,0,1,14
23.666666666666668,3,8,0.375,1,4,0.25,0,0,0.0,4,5,1,1,0,7
18.965,4,12,0.333,3,8,0.375,0,0,0.0,5,4,2,0,0,11
18.8,4,12,0.333,2,7,0.286,0,0,0.0,1,4,1,0,1,10
25.1,5,9,0.556,4,7,0.571,0,0,0.0,2,5,1,1,1,14
