MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
11.8,3,5,0.6,1,2,0.5,2,2,1.0,5,1,1,0,0,9
21.483333333333334,2,3,0.667,2,2,1.0,2,2,1.0,6,0,1,1,0,8
19.366666666666667,3,5,0.6,0,1,0.0,2,2,1.0,5,0,1,0,1,8
13.433333333333334,4,5,0.8,1,1,1.0,1,2,0.5,4,0,2,0,0,10
18.583333333333332,4,7,0.571,1,2,0.5,2,2,1.0,6,1,2,0,0,11
24.75,5,8,0.625,0,0,0.0,6,7,0.857,11,1,1,2,1,16
11.863333333333333,4,4,1.0,1,1,1.0,0,0,0.0,7,2,1,0,0,9
21.45,4,6,0.667,2,3,0.667,1,2,0.5,9,1,1,0,0,11
17.426666666666666,6,8,0.75,1,1,1.0,0,0,0.0,5,2,3,0,1,13
16.25,4,7,0.571,0,2,0.0,0,0,0.0,2,0,1,1,1,8
18.583333333333332,5,7,0.714,2,3,0.667,1,2,0.5,6,3,1,0,0,13
13.416666666666666,5,6,0.833,2,2,1.0,1,1,1.0,8,0,0,1,0,13
