MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
30.325,8,12,0.667,1,4,0.25,0,0,0.0,10,1,2,0,2,17
29.066666666666666,5,14,0.357,0,5,0.0,3,5,0.6,9,2,0,0,1,13
26.616666666666667,5,11,0.455,0,3,0.0,1,1,1.0,8,0,1,2,2,11
26.966666666666665,8,14,0.571,1,3,0.333,6,6,1.0,10,2,2,1,5,23
28.633333333333333,7,11,0.636,2,3,0.667,1,2,0.5,8,0,2,1,2,17
25.433333333333334,4,7,0.571,0,2,0.0,3,4,0.75,9,1,1,0,4,11
22.566666666666666,3,10,0.3,0,3,0.0,4,6,0.667,4,3,1,1,3,10
19.208333333333332,5,11,0.455,1,4,0.25,6,8,0.75,3,0,1,1,1,17
29.416666666666668,7,17,0.412,4,9,0.444,4,4,1.0,5,0,3,1,3,22
37.26833333333333,8,16,0.5,4,9,0.444,1,1,1.0,6,4,1,0,1,21
22.935,8,12,0.667,0,2,0.0,6,8,0.75,6,0,0,0,3,22
20.916666666666668,5,7,0.714,1,1,1.0,4,4,1.0,11,2,0,0,1,15
26.55,5,9,0.556,3,5,0.6,1,2,0.5,6,2,4,1,0,14
30.616666666666667,9,14,0.643,4,5,0.8,5,6,0.833,9,0,3,2,2,27
21.733333333333334,4,12,0.333,0,3,0.0,0,0,0.0,5,3,1,1,1,8
31.75,6,14,0.429,3,8,0.375,5,8,0.625,11,3,1,0,2,20
29.416666666666668,7,14,0.5,1,5,0.2,5,5,1.0,12,1,2,0,2,20
23.333333333333332,5,8,0.625,0,2,0.0,1,2,0.5,8,1,2,0,3,11
