MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
39.708333333333336,15,28,0.536,6,16,0.375,8,12,0.667,2,10,2,3,1,44
35.75,11,17,0.647,3,6,0.5,8,9,0.889,2,9,3,0,0,33
32.17333333333333,9,23,0.391,5,13,0.385,3,3,1.0,2,10,1,0,0,26
34.43333333333333,12,22,0.545,5,10,0.5,4,5,0.8,3,16,3,0,1,33
38.516666666666666,11,18,0.611,9,15,0.6,6,7,0.857,5,16,6,3,1,37
25.255,4,14,0.286,1,3,0.333,3,3,1.0,2,3,4,0,1,12
38.43333333333333,11,18,0.611,7,12,0.583,4,5,0.8,7,15,0,2,1,33
36.5,9,14,0.643,3,6,0.5,4,4,1.0,1,17,0,2,1,25
38.11666666666667,10,17,0.588,5,9,0.556,4,4,1.0,6,10,2,0,1,29
30.666666666666668,6,12,0.5,1,6,0.167,3,3,1.0,6,13,2,1,0,16
27.15,9,19,0.474,3,7,0.429,2,2,1.0,2,8,2,1,1,23
36.7,14,21,0.667,8,12,0.667,7,7,1.0,2,12,3,0,1,43
34.31666666666667,5,14,0.357,0,5,0.0,8,9,0.889,2,13,4,2,0,18
36.1,6,16,0.375,1,8,0.125,6,7,0.857,5,13,4,2,0,19
32.016666666666666,7,16,0.438,4,7,0.571,3,3,1.0,8,13,1,0,0,21
26.89666666666667,9,16,0.563,2,6,0.333,0,0,0.0,3,11,3,1,2,20
