MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.75,10,15,0.667,0,0,0.0,3,6,0.5,6,6,2,3,0,23
33.583333333333336,3,14,0.214,0,4,0.0,8,8,1.0,5,7,4,1,0,14
35.068333333333335,4,7,0.571,2,4,0.5,5,5,1.0,4,6,1,1,1,15
35.21,11,22,0.5,0,2,0.0,3,4,0.75,4,5,2,0,0,25
36.983333333333334,10,22,0.455,1,4,0.25,5,8,0.625,6,8,1,1,0,26
35.3,12,21,0.571,2,5,0.4,4,6,0.667,4,5,3,0,0,30
29.541666666666668,9,18,0.5,1,4,0.25,4,4,1.0,4,3,2,1,0,23
25.783333333333335,11,18,0.611,5,5,1.0,4,4,1.0,4,3,1,0,0,31
33.93333333333333,11,24,0.458,1,6,0.167,7,9,0.778,7,4,4,1,0,30
38.2,9,19,0.474,2,4,0.5,1,1,1.0,3,8,2,1,0,21
36.01166666666666,11,20,0.55,1,5,0.2,2,2,1.0,9,7,2,2,0,25
30.85,9,17,0.529,1,3,0.333,1,4,0.25,5,5,1,0,0,20
38.68333333333333,11,24,0.458,3,11,0.273,6,9,0.667,6,5,4,0,1,31
31.62,11,25,0.44,1,6,0.167,1,1,1.0,3,6,2,0,0,24
35.8,10,22,0.455,0,4,0.0,2,2,1.0,2,5,5,0,0,22
31.533333333333335,6,10,0.6,1,3,0.333,3,3,1.0,7,3,1,0,1,16
31.9,11,17,0.647,1,3,0.333,3,4,0.75,7,3,5,1,0,26
35.93666666666667,7,18,0.389,0,3,0.0,5,6,0.833,7,6,5,2,0,19
