MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
21.826666666666668,3,5,0.6,1,3,0.333,0,0,0.0,2,2,1,2,0,7
11.533333333333333,1,4,0.25,0,1,0.0,0,0,0.0,2,1,0,0,0,2
14.258333333333333,2,4,0.5,0,1,0.0,0,0,0.0,4,1,1,2,1,4
23.866666666666667,1,6,0.167,0,4,0.0,0,0,0.0,3,4,1,0,0,2
33.71666666666667,3,14,0.214,0,6,0.0,0,1,0.0,6,5,5,6,1,6
35.52166666666667,3,7,0.429,1,2,0.5,0,0,0.0,8,5,1,1,1,7
28.75,2,9,0.222,0,5,0.0,4,4,1.0,7,0,0,1,0,8
24.616666666666667,1,4,0.25,1,4,0.25,0,0,0.0,2,5,0,1,0,3
37.37833333333333,6,12,0.5,1,3,0.333,0,0,0.0,5,6,3,1,0,13
33.14666666666667,4,6,0.667,0,1,0.0,2,3,0.667,8,7,0,3,0,10
28.688333333333333,4,10,0.4,2,5,0.4,0,0,0.0,2,6,1,3,0,10
31.433333333333334,7,12,0.583,3,6,0.5,0,0,0.0,9,4,3,0,0,17
40.843333333333334,2,6,0.333,0,3,0.0,6,6,1.0,10,2,2,1,0,10
31.05,3,10,0.3,1,3,0.333,0,0,0.0,3,5,3,4,0,7
20.533333333333335,4,5,0.8,1,1,1.0,0,0,0.0,2,1,3,1,1,9
21.9,3,4,0.75,1,2,0.5,0,0,0.0,3,5,0,1,1,7
24.851666666666667,3,4,0.75,2,2,1.0,2,2,1.0,7,6,1,1,0,10
25.39666666666667,3,10,0.3,1,6,0.167,1,4,0.25,4,1,1,1,2,8
24.15,3,5,0.6,1,2,0.5,0,0,0.0,4,3,0,0,0,7
21.756666666666668,1,7,0.143,0,3,0.0,0,4,0.0,4,3,1,1,0,2
18.883333333333333,3,6,0.5,0,1,0.0,0,0,0.0,5,0,2,2,1,6
