MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.58,4,11,0.364,0,4,0.0,9,10,0.9,7,4,2,3,1,17
30.866666666666667,6,8,0.75,3,4,0.75,2,2,1.0,4,0,1,3,1,17
32.73,3,8,0.375,0,3,0.0,1,1,1.0,3,6,5,0,0,7
31.886666666666667,4,7,0.571,2,5,0.4,0,0,0.0,4,0,3,1,0,10
25.966666666666665,6,11,0.545,1,4,0.25,0,0,0.0,1,1,1,1,1,13
24.05,5,7,0.714,3,4,0.75,1,2,0.5,4,4,3,1,1,14
39.016666666666666,1,6,0.167,0,4,0.0,5,6,0.833,5,3,2,3,1,7
27.126666666666665,7,9,0.778,1,2,0.5,3,4,0.75,7,4,1,1,2,18
28.39,3,7,0.429,3,4,0.75,4,4,1.0,4,8,0,2,2,13
36.865,3,8,0.375,0,1,0.0,2,2,1.0,5,4,1,3,1,8
30.618333333333332,6,8,0.75,2,4,0.5,5,6,0.833,4,4,2,5,2,19
31.086666666666666,1,3,0.333,0,2,0.0,2,2,1.0,2,2,1,2,0,4
33.095,6,13,0.462,1,5,0.2,0,0,0.0,2,1,3,3,1,13
34.45333333333333,6,7,0.857,0,1,0.0,9,9,1.0,5,3,0,3,4,21
31.026666666666667,2,9,0.222,1,6,0.167,0,0,0.0,6,1,1,0,1,5
22.35,1,5,0.2,0,4,0.0,2,2,1.0,2,1,0,2,1,4
27.535,4,6,0.667,2,2,1.0,0,0,0.0,2,1,1,0,3,10
38.1,4,8,0.5,2,3,0.667,3,5,0.6,8,3,3,1,1,13
