MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
35.74166666666667,6,11,0.545,2,4,0.5,1,2,0.5,10,1,0,0,0,15
30.566666666666666,9,12,0.75,0,1,0.0,6,7,0.857,12,1,1,1,2,24
31.566666666666666,8,9,0.889,0,1,0.0,3,3,1.0,6,3,2,0,0,19
29.988333333333333,5,10,0.5,0,1,0.0,4,6,0.667,13,2,0,0,1,14
26.483333333333334,3,10,0.3,0,2,0.0,2,4,0.5,7,2,1,1,0,8
27.94,4,6,0.667,2,2,1.0,2,2,1.0,8,4,1,1,0,12
27.791666666666668,6,9,0.667,0,0,0.0,3,4,0.75,11,2,1,0,0,15
21.183333333333334,3,4,0.75,0,0,0.0,4,4,1.0,13,7,0,1,3,10
29.586666666666666,10,15,0.667,0,1,0.0,6,6,1.0,11,3,3,1,3,26
34.44166666666667,10,18,0.556,1,3,0.333,1,3,0.333,8,3,0,0,1,22
22.15,3,5,0.6,0,2,0.0,0,0,0.0,3,4,0,1,2,6
20.85,6,11,0.545,3,5,0.6,0,0,0.0,10,3,0,0,2,15
29.416666666666668,7,12,0.583,1,1,1.0,0,1,0.0,9,2,2,0,4,15
22.1,4,9,0.444,0,2,0.0,0,0,0.0,6,0,0,0,0,8
23.93166666666667,2,6,0.333,0,1,0.0,2,2,1.0,11,2,2,0,1,6
20.633333333333333,3,6,0.5,0,0,0.0,0,0,0.0,7,0,3,1,1,6
32.516666666666666,9,16,0.563,2,3,0.667,3,4,0.75,13,5,2,0,3,23
20.966666666666665,6,10,0.6,1,1,1.0,6,7,0.857,9,2,0,1,1,19
22.8,4,11,0.364,1,5,0.2,2,2,1.0,6,3,0,0,2,11
20.983333333333334,3,7,0.429,0,1,0.0,2,2,1.0,4,0,4,1,0,8
29.2,4,7,0.571,2,4,0.5,2,2,1.0,12,1,3,0,1,12
