MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
24.638333333333332,2,6,0.333,2,5,0.4,4,4,1.0,1,0,0,0,0,10
15.066666666666666,1,3,0.333,1,2,0.5,0,0,0.0,0,0,1,0,0,3
23.935,4,10,0.4,3,8,0.375,5,6,0.833,5,2,2,0,0,16
24.906666666666666,5,11,0.455,3,6,0.5,0,0,0.0,5,0,0,0,0,13
39.946666666666665,8,17,0.471,5,12,0.417,4,5,0.8,6,3,4,1,0,25
20.195,3,5,0.6,2,4,0.5,0,0,0.0,4,1,0,0,0,8
20.816666666666666,3,9,0.333,2,8,0.25,5,5,1.0,2,3,0,0,0,13
29.116666666666667,3,11,0.273,2,5,0.4,1,1,1.0,5,2,1,0,0,9
36.568333333333335,6,12,0.5,3,8,0.375,0,0,0.0,2,4,1,1,0,15
25.956666666666667,3,7,0.429,1,3,0.333,0,0,0.0,5,4,0,0,0,7
32.766666666666666,8,17,0.471,5,12,0.417,4,4,1.0,6,3,0,0,0,25
27.566666666666666,3,13,0.231,2,9,0.222,2,2,1.0,2,2,2,0,0,10
41.26,4,11,0.364,3,8,0.375,3,4,0.75,7,1,3,2,0,14
30.296666666666667,4,11,0.364,2,5,0.4,4,4,1.0,1,1,2,0,0,14
37.971666666666664,10,19,0.526,7,14,0.5,4,5,0.8,7,3,1,1,0,31
24.15,5,11,0.455,4,8,0.5,1,1,1.0,5,0,1,1,0,15
29.433333333333334,1,7,0.143,1,5,0.2,3,3,1.0,1,0,1,0,0,6
37.303333333333335,4,19,0.211,2,13,0.154,0,0,0.0,6,4,1,2,0,10
35.016666666666666,6,13,0.462,2,7,0.286,0,2,0.0,5,2,1,2,0,14
17.775,3,7,0.429,3,6,0.5,0,0,0.0,4,1,1,0,0,9
