MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.625,3,5,0.6,3,4,0.75,1,1,1.0,3,1,3,1,0,10
18.745,3,7,0.429,3,5,0.6,0,1,0.0,0,0,0,0,0,9
19.965,2,7,0.286,2,5,0.4,0,0,0.0,2,0,0,1,0,6
27.1,5,7,0.714,4,6,0.667,0,0,0.0,6,2,0,0,0,14
16.186666666666667,0,1,0.0,0,1,0.0,0,0,0.0,2,0,1,1,0,0
26.083333333333332,2,5,0.4,2,4,0.5,6,6,1.0,4,1,5,0,0,12
25.14666666666667,5,8,0.625,4,6,0.667,3,3,1.0,0,1,0,0,0,17
16.85,1,4,0.25,0,3,0.0,2,2,1.0,2,1,1,0,0,4
35.065,7,10,0.7,6,8,0.75,0,0,0.0,2,2,3,0,0,20
19.64666666666667,2,6,0.333,1,5,0.2,0,0,0.0,3,0,1,0,0,5
27.166666666666668,4,9,0.444,3,7,0.429,1,1,1.0,2,2,2,1,0,12
25.718333333333334,1,8,0.125,1,8,0.125,0,0,0.0,3,3,0,1,1,3
13.863333333333333,3,6,0.5,3,6,0.5,0,0,0.0,1,1,0,0,0,9
