MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
26.666666666666668,2,7,0.286,1,4,0.25,2,2,1.0,3,2,1,1,0,7
18.533333333333335,3,4,0.75,1,1,1.0,3,3,1.0,6,0,2,0,0,10
18.566666666666666,1,4,0.25,1,3,0.333,1,2,0.5,3,3,1,1,1,4
27.956666666666667,6,12,0.5,1,3,0.333,1,2,0.5,9,3,1,3,0,14
20.686666666666667,2,6,0.333,1,2,0.5,0,0,0.0,3,4,0,0,0,5
27.268333333333334,0,7,0.0,0,3,0.0,5,6,0.833,8,1,0,0,0,5
20.341666666666665,4,5,0.8,2,2,1.0,2,3,0.667,6,4,1,1,1,12
26.166666666666668,5,11,0.455,1,5,0.2,0,0,0.0,7,4,3,1,0,11
24.105,2,4,0.5,1,2,0.5,2,3,0.667,1,1,2,1,0,7
18.365,4,6,0.667,4,5,0.8,0,0,0.0,5,1,2,1,0,12
20.596666666666668,5,9,0.556,1,4,0.25,5,5,1.0,4,2,1,1,2,16
13.85,2,3,0.667,1,1,1.0,3,3,1.0,2,2,2,0,0,8
