MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
16.035,2,6,0.333,0,2,0.0,0,0,0.0,8,0,2,0,0,4
13.166666666666666,1,2,0.5,1,1,1.0,0,0,0.0,7,0,3,0,0,3
20.868333333333332,6,11,0.545,0,3,0.0,0,0,0.0,6,0,0,1,0,12
27.878333333333334,8,14,0.571,0,2,0.0,0,0,0.0,4,2,1,2,1,16
30.1,4,5,0.8,0,0,0.0,0,0,0.0,6,3,1,0,2,8
23.763333333333332,4,10,0.4,0,0,0.0,0,0,0.0,7,0,0,0,2,8
30.266666666666666,3,5,0.6,0,1,0.0,3,4,0.75,10,2,5,1,1,9
17.316666666666666,4,8,0.5,0,1,0.0,1,3,0.333,10,2,5,0,0,9
34.835,9,12,0.75,0,1,0.0,3,6,0.5,8,5,2,3,2,21
32.33833333333333,2,9,0.222,0,1,0.0,5,7,0.714,16,2,3,0,2,9
32.266666666666666,6,11,0.545,0,1,0.0,0,1,0.0,13,4,2,1,3,12
36.81,3,8,0.375,0,1,0.0,0,0,0.0,15,3,2,0,1,6
37.526666666666664,6,10,0.6,1,4,0.25,3,3,1.0,7,2,1,4,0,16
38.11666666666667,6,14,0.429,2,3,0.667,0,0,0.0,9,4,1,4,4,14
25.063333333333333,5,17,0.294,0,6,0.0,6,7,0.857,7,5,3,0,1,16
29.933333333333334,8,14,0.571,0,3,0.0,0,0,0.0,7,2,2,2,0,16
30.601666666666667,6,14,0.429,0,2,0.0,3,4,0.75,10,3,3,1,3,15
31.261666666666667,3,7,0.429,0,2,0.0,3,4,0.75,12,5,2,1,1,9
29.583333333333332,2,9,0.222,0,1,0.0,2,2,1.0,13,6,3,0,1,6
26.883333333333333,1,7,0.143,1,2,0.5,1,2,0.5,7,3,2,0,5,4
